proximity_id,ocean_proximity
10191,NEAR BAY
10192,NEAR BAY
10193,NEAR BAY
10194,NEAR BAY
10195,NEAR BAY
10196,NEAR BAY
10197,NEAR BAY
10198,NEAR BAY
10199,NEAR BAY
10200,NEAR BAY
10201,NEAR BAY
10202,NEAR BAY
10203,NEAR BAY
10204,NEAR BAY
10205,NEAR BAY
10206,NEAR BAY
10207,NEAR BAY
10208,NEAR BAY
10209,NEAR BAY
10210,NEAR BAY
10211,NEAR BAY
10212,NEAR BAY
10213,NEAR BAY
10214,NEAR BAY
10215,NEAR BAY
10216,NEAR BAY
10217,NEAR BAY
10218,NEAR BAY
10219,NEAR BAY
10220,NEAR BAY
10221,NEAR BAY
10222,NEAR BAY
10223,NEAR BAY
10224,NEAR BAY
10225,NEAR BAY
10226,NEAR BAY
10227,NEAR BAY
10228,NEAR BAY
10229,NEAR BAY
10230,NEAR BAY
10231,NEAR BAY
10232,NEAR BAY
10233,NEAR BAY
10234,NEAR BAY
10235,NEAR BAY
10236,NEAR BAY
10237,NEAR BAY
10238,NEAR BAY
10239,NEAR BAY
10240,NEAR BAY
10241,NEAR BAY
10242,NEAR BAY
10243,NEAR BAY
10244,NEAR BAY
10245,NEAR BAY
10246,NEAR BAY
10247,NEAR BAY
10248,NEAR BAY
10249,NEAR BAY
10250,NEAR BAY
10251,NEAR BAY
10252,NEAR BAY
10253,NEAR BAY
10254,NEAR BAY
10255,NEAR BAY
10256,NEAR BAY
10257,NEAR BAY
10258,NEAR BAY
10259,NEAR BAY
10260,NEAR BAY
10261,NEAR BAY
10262,NEAR BAY
10263,NEAR BAY
10264,NEAR BAY
10265,NEAR BAY
10266,NEAR BAY
10267,NEAR BAY
10268,NEAR BAY
10269,NEAR BAY
10270,NEAR BAY
10271,NEAR BAY
10272,NEAR BAY
10273,NEAR BAY
10274,NEAR BAY
10275,NEAR BAY
10276,NEAR BAY
10277,NEAR BAY
10278,NEAR BAY
10279,NEAR BAY
10280,NEAR BAY
10281,NEAR BAY
10282,NEAR BAY
10283,NEAR BAY
10284,NEAR BAY
10285,NEAR BAY
10286,NEAR BAY
10287,NEAR BAY
10288,NEAR BAY
10289,NEAR BAY
10290,NEAR BAY
10291,NEAR BAY
10292,NEAR BAY
10293,NEAR BAY
10294,NEAR BAY
10295,NEAR BAY
10296,NEAR BAY
10297,NEAR BAY
10298,NEAR BAY
10299,NEAR BAY
10300,NEAR BAY
10301,NEAR BAY
10302,NEAR BAY
10303,NEAR BAY
10304,NEAR BAY
10305,NEAR BAY
10306,NEAR BAY
10307,NEAR BAY
10308,NEAR BAY
10309,NEAR BAY
10310,NEAR BAY
10311,NEAR BAY
10312,NEAR BAY
10313,NEAR BAY
10314,NEAR BAY
10315,NEAR BAY
10316,NEAR BAY
10317,NEAR BAY
10318,NEAR BAY
10319,NEAR BAY
10320,NEAR BAY
10321,NEAR BAY
10322,NEAR BAY
10323,NEAR BAY
10324,NEAR BAY
10325,NEAR BAY
10326,NEAR BAY
10327,NEAR BAY
10328,NEAR BAY
10329,NEAR BAY
10330,NEAR BAY
10331,NEAR BAY
10332,NEAR BAY
10333,NEAR BAY
10334,NEAR BAY
10335,NEAR BAY
10336,NEAR BAY
10337,NEAR BAY
10338,NEAR BAY
10339,NEAR BAY
10340,NEAR BAY
10341,NEAR BAY
10342,NEAR BAY
10343,NEAR BAY
10344,NEAR BAY
10345,NEAR BAY
10346,NEAR BAY
10347,NEAR BAY
10348,NEAR BAY
10349,NEAR BAY
10350,NEAR BAY
10351,NEAR BAY
10352,NEAR BAY
10353,NEAR BAY
10354,NEAR BAY
10355,NEAR BAY
10356,NEAR BAY
10357,NEAR BAY
10358,NEAR BAY
10359,NEAR BAY
10360,NEAR BAY
10361,NEAR BAY
10362,NEAR BAY
10363,NEAR BAY
10364,NEAR BAY
10365,NEAR BAY
10366,NEAR BAY
10367,NEAR BAY
10368,NEAR BAY
10369,NEAR BAY
10370,NEAR BAY
10371,NEAR BAY
10372,NEAR BAY
10373,NEAR BAY
10374,NEAR BAY
10375,NEAR BAY
10376,NEAR BAY
10377,NEAR BAY
10378,NEAR BAY
10379,NEAR BAY
10380,NEAR BAY
10381,NEAR BAY
10382,NEAR BAY
10383,NEAR BAY
10384,NEAR BAY
10385,NEAR BAY
10386,NEAR BAY
10387,NEAR BAY
10388,NEAR BAY
10389,NEAR BAY
10390,NEAR BAY
10391,NEAR BAY
10392,NEAR BAY
10393,NEAR BAY
10394,NEAR BAY
10395,NEAR BAY
10396,NEAR BAY
10397,NEAR BAY
10398,NEAR BAY
10399,NEAR BAY
10400,NEAR BAY
10401,NEAR BAY
10402,NEAR BAY
10403,NEAR BAY
10404,NEAR BAY
10405,NEAR BAY
10406,NEAR BAY
10407,NEAR BAY
10408,NEAR BAY
10409,NEAR BAY
10410,NEAR BAY
10411,NEAR BAY
10412,NEAR BAY
10413,NEAR BAY
10414,NEAR BAY
10415,NEAR BAY
10416,NEAR BAY
10417,NEAR BAY
10418,NEAR BAY
10419,NEAR BAY
10420,NEAR BAY
10421,NEAR BAY
10422,NEAR BAY
10423,NEAR BAY
10424,NEAR BAY
10425,NEAR BAY
10426,NEAR BAY
10427,NEAR BAY
10428,NEAR BAY
10429,NEAR BAY
10430,NEAR BAY
10431,NEAR BAY
10432,NEAR BAY
10433,NEAR BAY
10434,NEAR BAY
10435,NEAR BAY
10436,NEAR BAY
10437,NEAR BAY
10438,NEAR BAY
10439,NEAR BAY
10440,NEAR BAY
10441,NEAR BAY
10442,NEAR BAY
10443,NEAR BAY
10444,NEAR BAY
10445,NEAR BAY
10446,NEAR BAY
10447,NEAR BAY
10448,NEAR BAY
10449,NEAR BAY
10450,NEAR BAY
10451,NEAR BAY
10452,NEAR BAY
10453,NEAR BAY
10454,NEAR BAY
10455,NEAR BAY
10456,NEAR BAY
10457,NEAR BAY
10458,NEAR BAY
10459,NEAR BAY
10460,NEAR BAY
10461,NEAR BAY
10462,NEAR BAY
10463,NEAR BAY
10464,NEAR BAY
10465,NEAR BAY
10466,NEAR BAY
10467,NEAR BAY
10468,NEAR BAY
10469,NEAR BAY
10470,NEAR BAY
10471,NEAR BAY
10472,NEAR BAY
10473,NEAR BAY
10474,NEAR BAY
10475,NEAR BAY
10476,NEAR BAY
10477,NEAR BAY
10478,NEAR BAY
10479,NEAR BAY
10480,NEAR BAY
10481,NEAR BAY
10482,NEAR BAY
10483,NEAR BAY
10484,NEAR BAY
10485,NEAR BAY
10486,NEAR BAY
10487,NEAR BAY
10488,NEAR BAY
10489,NEAR BAY
10490,NEAR BAY
10491,NEAR BAY
10492,NEAR BAY
10493,NEAR BAY
10494,NEAR BAY
10495,NEAR BAY
10496,NEAR BAY
10497,NEAR BAY
10498,NEAR BAY
10499,NEAR BAY
10500,NEAR BAY
10501,NEAR BAY
10502,NEAR BAY
10503,NEAR BAY
10504,NEAR BAY
10505,NEAR BAY
10506,NEAR BAY
10507,NEAR BAY
10508,NEAR BAY
10509,NEAR BAY
10510,NEAR BAY
10511,NEAR BAY
10512,NEAR BAY
10513,NEAR BAY
10514,NEAR BAY
10515,NEAR BAY
10516,NEAR BAY
10517,NEAR BAY
10518,NEAR BAY
10519,NEAR BAY
10520,NEAR BAY
10521,NEAR BAY
10522,NEAR BAY
10523,NEAR BAY
10524,NEAR BAY
10525,NEAR BAY
10526,NEAR BAY
10527,NEAR BAY
10528,NEAR BAY
10529,NEAR BAY
10530,NEAR BAY
10531,NEAR BAY
10532,NEAR BAY
10533,NEAR BAY
10534,NEAR BAY
10535,NEAR BAY
10536,NEAR BAY
10537,NEAR BAY
10538,NEAR BAY
10539,NEAR BAY
10540,NEAR BAY
10541,NEAR BAY
10542,NEAR BAY
10543,NEAR BAY
10544,NEAR BAY
10545,NEAR BAY
10546,NEAR BAY
10547,NEAR BAY
10548,NEAR BAY
10549,NEAR BAY
10550,NEAR BAY
10551,NEAR BAY
10552,NEAR BAY
10553,NEAR BAY
10554,NEAR BAY
10555,NEAR BAY
10556,NEAR BAY
10557,NEAR BAY
10558,NEAR BAY
10559,NEAR BAY
10560,NEAR BAY
10561,NEAR BAY
10562,NEAR BAY
10563,NEAR BAY
10564,NEAR BAY
10565,NEAR BAY
10566,NEAR BAY
10567,NEAR BAY
10568,NEAR BAY
10569,NEAR BAY
10570,NEAR BAY
10571,NEAR BAY
10572,NEAR BAY
10573,NEAR BAY
10574,NEAR BAY
10575,NEAR BAY
10576,NEAR BAY
10577,NEAR BAY
10578,NEAR BAY
10579,NEAR BAY
10580,NEAR BAY
10581,NEAR BAY
10582,NEAR BAY
10583,NEAR BAY
10584,NEAR BAY
10585,NEAR BAY
10586,NEAR BAY
10587,NEAR BAY
10588,NEAR BAY
10589,NEAR BAY
10590,NEAR BAY
10591,NEAR BAY
10592,NEAR BAY
10593,NEAR BAY
10594,NEAR BAY
10595,NEAR BAY
10596,NEAR BAY
10597,NEAR BAY
10598,NEAR BAY
10599,NEAR BAY
10600,NEAR BAY
10601,NEAR BAY
10602,NEAR BAY
10603,NEAR BAY
10604,NEAR BAY
10605,NEAR BAY
10606,NEAR BAY
10607,NEAR BAY
10608,NEAR BAY
10609,NEAR BAY
10610,NEAR BAY
10611,NEAR BAY
10612,NEAR BAY
10613,NEAR BAY
10614,NEAR BAY
10615,NEAR BAY
10616,NEAR BAY
10617,NEAR BAY
10618,NEAR BAY
10619,NEAR BAY
10620,NEAR BAY
10621,NEAR BAY
10622,NEAR BAY
10623,NEAR BAY
10624,NEAR BAY
10625,NEAR BAY
10626,NEAR BAY
10627,NEAR BAY
10628,NEAR BAY
10629,NEAR BAY
10630,NEAR BAY
10631,NEAR BAY
10632,NEAR BAY
10633,NEAR BAY
10634,NEAR BAY
10635,NEAR BAY
10636,NEAR BAY
10637,NEAR BAY
10638,NEAR BAY
10639,NEAR BAY
10640,NEAR BAY
10641,NEAR BAY
10642,NEAR BAY
10643,NEAR BAY
10644,NEAR BAY
10645,NEAR BAY
10646,NEAR BAY
10647,NEAR BAY
10648,NEAR BAY
10649,NEAR BAY
10650,NEAR BAY
10651,NEAR BAY
10652,NEAR BAY
10653,NEAR BAY
10654,NEAR BAY
10655,NEAR BAY
10656,NEAR BAY
10657,NEAR BAY
10658,NEAR BAY
10659,NEAR BAY
10660,NEAR BAY
10661,NEAR BAY
10662,NEAR BAY
10663,NEAR BAY
10664,NEAR BAY
10665,NEAR BAY
10666,NEAR BAY
10667,NEAR BAY
10668,NEAR BAY
10669,NEAR BAY
10670,NEAR BAY
10671,NEAR BAY
10672,NEAR BAY
10673,NEAR BAY
10674,NEAR BAY
10675,NEAR BAY
10676,NEAR BAY
10677,NEAR BAY
10678,NEAR BAY
10679,NEAR BAY
10680,NEAR BAY
10681,NEAR BAY
10682,NEAR BAY
10683,NEAR BAY
10684,NEAR BAY
10685,NEAR BAY
10686,NEAR BAY
10687,NEAR BAY
10688,NEAR BAY
10689,NEAR BAY
10690,NEAR BAY
10691,NEAR BAY
10692,NEAR BAY
10693,NEAR BAY
10694,NEAR BAY
10695,NEAR BAY
10696,NEAR BAY
10697,NEAR BAY
10698,NEAR BAY
10699,NEAR BAY
10700,NEAR BAY
10701,NEAR BAY
10702,<1H OCEAN
10703,NEAR BAY
10704,NEAR BAY
10705,NEAR BAY
10706,NEAR BAY
10707,NEAR BAY
10708,NEAR BAY
10709,NEAR BAY
10710,NEAR BAY
10711,NEAR BAY
10712,NEAR BAY
10713,NEAR BAY
10714,NEAR BAY
10715,NEAR BAY
10716,NEAR BAY
10717,NEAR BAY
10718,NEAR BAY
10719,NEAR BAY
10720,NEAR BAY
10721,NEAR BAY
10722,NEAR BAY
10723,NEAR BAY
10724,NEAR BAY
10725,NEAR BAY
10726,NEAR BAY
10727,NEAR BAY
10728,NEAR BAY
10729,NEAR BAY
10730,NEAR BAY
10731,NEAR BAY
10732,NEAR BAY
10733,NEAR BAY
10734,NEAR BAY
10735,NEAR BAY
10736,NEAR BAY
10737,NEAR BAY
10738,NEAR BAY
10739,NEAR BAY
10740,NEAR BAY
10741,NEAR BAY
10742,NEAR BAY
10743,NEAR BAY
10744,NEAR BAY
10745,NEAR BAY
10746,NEAR BAY
10747,NEAR BAY
10748,NEAR BAY
10749,NEAR BAY
10750,NEAR BAY
10751,NEAR BAY
10752,NEAR BAY
10753,NEAR BAY
10754,NEAR BAY
10755,NEAR BAY
10756,NEAR BAY
10757,NEAR BAY
10758,NEAR BAY
10759,NEAR BAY
10760,NEAR BAY
10761,NEAR BAY
10762,NEAR BAY
10763,NEAR BAY
10764,NEAR BAY
10765,NEAR BAY
10766,NEAR BAY
10767,NEAR BAY
10768,NEAR BAY
10769,NEAR BAY
10770,NEAR BAY
10771,NEAR BAY
10772,NEAR BAY
10773,NEAR BAY
10774,NEAR BAY
10775,NEAR BAY
10776,NEAR BAY
10777,NEAR BAY
10778,NEAR BAY
10779,NEAR BAY
10780,NEAR BAY
10781,NEAR BAY
10782,NEAR BAY
10783,NEAR BAY
10784,NEAR BAY
10785,NEAR BAY
10786,NEAR BAY
10787,NEAR BAY
10788,NEAR BAY
10789,NEAR BAY
10790,NEAR BAY
10791,NEAR BAY
10792,NEAR BAY
10793,NEAR BAY
10794,NEAR BAY
10795,NEAR BAY
10796,NEAR BAY
10797,NEAR BAY
10798,NEAR BAY
10799,NEAR BAY
10800,NEAR BAY
10801,NEAR BAY
10802,NEAR BAY
10803,NEAR BAY
10804,NEAR BAY
10805,NEAR BAY
10806,NEAR BAY
10807,NEAR BAY
10808,NEAR BAY
10809,NEAR BAY
10810,NEAR BAY
10811,NEAR BAY
10812,NEAR BAY
10813,NEAR BAY
10814,NEAR BAY
10815,NEAR BAY
10816,NEAR BAY
10817,NEAR BAY
10818,NEAR BAY
10819,NEAR BAY
10820,NEAR BAY
10821,NEAR BAY
10822,NEAR BAY
10823,NEAR BAY
10824,NEAR BAY
10825,NEAR BAY
10826,NEAR BAY
10827,NEAR BAY
10828,NEAR BAY
10829,NEAR BAY
10830,NEAR BAY
10831,<1H OCEAN
10832,NEAR BAY
10833,NEAR BAY
10834,NEAR BAY
10835,NEAR BAY
10836,NEAR BAY
10837,NEAR BAY
10838,NEAR BAY
10839,NEAR BAY
10840,NEAR BAY
10841,NEAR BAY
10842,NEAR BAY
10843,NEAR BAY
10844,NEAR BAY
10845,NEAR BAY
10846,NEAR BAY
10847,NEAR BAY
10848,NEAR BAY
10849,NEAR BAY
10850,NEAR BAY
10851,NEAR BAY
10852,NEAR BAY
10853,NEAR BAY
10854,NEAR BAY
10855,NEAR BAY
10856,NEAR BAY
10857,NEAR BAY
10858,NEAR BAY
10859,NEAR BAY
10860,<1H OCEAN
10861,<1H OCEAN
10862,<1H OCEAN
10863,<1H OCEAN
10864,<1H OCEAN
10865,NEAR BAY
10866,NEAR BAY
10867,NEAR BAY
10868,NEAR BAY
10869,NEAR BAY
10870,NEAR BAY
10871,<1H OCEAN
10872,NEAR BAY
10873,NEAR BAY
10874,NEAR BAY
10875,NEAR BAY
10876,NEAR BAY
10877,NEAR BAY
10878,NEAR BAY
10879,NEAR BAY
10880,NEAR BAY
10881,<1H OCEAN
10882,<1H OCEAN
10883,<1H OCEAN
10884,<1H OCEAN
10885,<1H OCEAN
10886,<1H OCEAN
10887,<1H OCEAN
10888,<1H OCEAN
10889,<1H OCEAN
10890,<1H OCEAN
10891,<1H OCEAN
10892,<1H OCEAN
10893,<1H OCEAN
10894,<1H OCEAN
10895,<1H OCEAN
10896,<1H OCEAN
10897,<1H OCEAN
10898,<1H OCEAN
10899,<1H OCEAN
10900,<1H OCEAN
10901,<1H OCEAN
10902,<1H OCEAN
10903,<1H OCEAN
10904,<1H OCEAN
10905,<1H OCEAN
10906,<1H OCEAN
10907,<1H OCEAN
10908,<1H OCEAN
10909,<1H OCEAN
10910,NEAR BAY
10911,<1H OCEAN
10912,NEAR BAY
10913,<1H OCEAN
10914,NEAR BAY
10915,<1H OCEAN
10916,<1H OCEAN
10917,<1H OCEAN
10918,<1H OCEAN
10919,<1H OCEAN
10920,<1H OCEAN
10921,<1H OCEAN
10922,<1H OCEAN
10923,<1H OCEAN
10924,<1H OCEAN
10925,<1H OCEAN
10926,<1H OCEAN
10927,<1H OCEAN
10928,<1H OCEAN
10929,NEAR BAY
10930,NEAR BAY
10931,NEAR BAY
10932,NEAR BAY
10933,NEAR BAY
10934,NEAR BAY
10935,NEAR BAY
10936,NEAR BAY
10937,NEAR BAY
10938,NEAR BAY
10939,NEAR BAY
10940,NEAR BAY
10941,NEAR BAY
10942,NEAR BAY
10943,NEAR BAY
10944,NEAR BAY
10945,NEAR BAY
10946,<1H OCEAN
10947,<1H OCEAN
10948,<1H OCEAN
10949,<1H OCEAN
10950,<1H OCEAN
10951,<1H OCEAN
10952,<1H OCEAN
10953,<1H OCEAN
10954,<1H OCEAN
10955,INLAND
10956,<1H OCEAN
10957,<1H OCEAN
10958,INLAND
10959,<1H OCEAN
10960,<1H OCEAN
10961,<1H OCEAN
10962,<1H OCEAN
10963,<1H OCEAN
10964,<1H OCEAN
10965,<1H OCEAN
10966,INLAND
10967,<1H OCEAN
10968,INLAND
10969,INLAND
10970,INLAND
10971,INLAND
10972,<1H OCEAN
10973,<1H OCEAN
10974,INLAND
10975,INLAND
10976,INLAND
10977,INLAND
10978,INLAND
10979,<1H OCEAN
10980,INLAND
10981,INLAND
10982,INLAND
10983,INLAND
10984,INLAND
10985,INLAND
10986,INLAND
10987,INLAND
10988,INLAND
10989,INLAND
10990,<1H OCEAN
10991,INLAND
10992,INLAND
10993,INLAND
10994,INLAND
10995,INLAND
10996,INLAND
10997,INLAND
10998,INLAND
10999,INLAND
11000,INLAND
11001,INLAND
11002,INLAND
11003,INLAND
11004,INLAND
11005,INLAND
11006,INLAND
11007,INLAND
11008,INLAND
11009,INLAND
11010,INLAND
11011,INLAND
11012,INLAND
11013,INLAND
11014,INLAND
11015,INLAND
11016,INLAND
11017,INLAND
11018,INLAND
11019,INLAND
11020,INLAND
11021,INLAND
11022,INLAND
11023,INLAND
11024,INLAND
11025,INLAND
11026,INLAND
11027,INLAND
11028,INLAND
11029,INLAND
11030,INLAND
11031,INLAND
11032,INLAND
11033,INLAND
11034,INLAND
11035,INLAND
11036,INLAND
11037,INLAND
11038,INLAND
11039,INLAND
11040,INLAND
11041,INLAND
11042,INLAND
11043,INLAND
11044,INLAND
11045,INLAND
11046,INLAND
11047,INLAND
11048,INLAND
11049,INLAND
11050,INLAND
11051,INLAND
11052,INLAND
11053,INLAND
11054,INLAND
11055,INLAND
11056,INLAND
11057,INLAND
11058,INLAND
11059,INLAND
11060,INLAND
11061,INLAND
11062,INLAND
11063,INLAND
11064,INLAND
11065,INLAND
11066,INLAND
11067,INLAND
11068,INLAND
11069,INLAND
11070,INLAND
11071,INLAND
11072,INLAND
11073,INLAND
11074,INLAND
11075,INLAND
11076,INLAND
11077,INLAND
11078,INLAND
11079,INLAND
11080,INLAND
11081,INLAND
11082,INLAND
11083,INLAND
11084,INLAND
11085,INLAND
11086,INLAND
11087,INLAND
11088,INLAND
11089,INLAND
11090,INLAND
11091,INLAND
11092,INLAND
11093,INLAND
11094,INLAND
11095,INLAND
11096,INLAND
11097,INLAND
11098,INLAND
11099,INLAND
11100,INLAND
11101,INLAND
11102,INLAND
11103,INLAND
11104,INLAND
11105,INLAND
11106,INLAND
11107,INLAND
11108,INLAND
11109,INLAND
11110,INLAND
11111,INLAND
11112,INLAND
11113,INLAND
11114,INLAND
11115,INLAND
11116,INLAND
11117,INLAND
11118,INLAND
11119,INLAND
11120,INLAND
11121,INLAND
11122,INLAND
11123,INLAND
11124,INLAND
11125,INLAND
11126,INLAND
11127,INLAND
11128,INLAND
11129,INLAND
11130,INLAND
11131,INLAND
11132,INLAND
11133,INLAND
11134,INLAND
11135,INLAND
11136,INLAND
11137,INLAND
11138,INLAND
11139,INLAND
11140,INLAND
11141,INLAND
11142,INLAND
11143,INLAND
11144,INLAND
11145,INLAND
11146,INLAND
11147,INLAND
11148,INLAND
11149,INLAND
11150,INLAND
11151,INLAND
11152,INLAND
11153,INLAND
11154,INLAND
11155,INLAND
11156,INLAND
11157,INLAND
11158,INLAND
11159,INLAND
11160,INLAND
11161,INLAND
11162,INLAND
11163,INLAND
11164,INLAND
11165,INLAND
11166,INLAND
11167,INLAND
11168,INLAND
11169,INLAND
11170,INLAND
11171,INLAND
11172,INLAND
11173,INLAND
11174,INLAND
11175,INLAND
11176,INLAND
11177,INLAND
11178,INLAND
11179,INLAND
11180,INLAND
11181,INLAND
11182,INLAND
11183,INLAND
11184,INLAND
11185,INLAND
11186,INLAND
11187,INLAND
11188,INLAND
11189,INLAND
11190,INLAND
11191,INLAND
11192,INLAND
11193,INLAND
11194,INLAND
11195,INLAND
11196,INLAND
11197,INLAND
11198,INLAND
11199,INLAND
11200,INLAND
11201,INLAND
11202,INLAND
11203,INLAND
11204,INLAND
11205,INLAND
11206,INLAND
11207,INLAND
11208,INLAND
11209,INLAND
11210,INLAND
11211,INLAND
11212,INLAND
11213,INLAND
11214,INLAND
11215,INLAND
11216,INLAND
11217,INLAND
11218,INLAND
11219,INLAND
11220,INLAND
11221,INLAND
11222,INLAND
11223,INLAND
11224,INLAND
11225,INLAND
11226,INLAND
11227,INLAND
11228,INLAND
11229,INLAND
11230,INLAND
11231,INLAND
11232,INLAND
11233,INLAND
11234,INLAND
11235,INLAND
11236,INLAND
11237,INLAND
11238,INLAND
11239,INLAND
11240,INLAND
11241,INLAND
11242,INLAND
11243,INLAND
11244,INLAND
11245,INLAND
11246,INLAND
11247,INLAND
11248,INLAND
11249,INLAND
11250,INLAND
11251,INLAND
11252,INLAND
11253,INLAND
11254,INLAND
11255,INLAND
11256,INLAND
11257,INLAND
11258,INLAND
11259,INLAND
11260,INLAND
11261,INLAND
11262,INLAND
11263,INLAND
11264,INLAND
11265,INLAND
11266,INLAND
11267,INLAND
11268,INLAND
11269,INLAND
11270,INLAND
11271,INLAND
11272,INLAND
11273,INLAND
11274,INLAND
11275,INLAND
11276,INLAND
11277,INLAND
11278,INLAND
11279,INLAND
11280,INLAND
11281,INLAND
11282,INLAND
11283,INLAND
11284,INLAND
11285,INLAND
11286,INLAND
11287,INLAND
11288,INLAND
11289,INLAND
11290,INLAND
11291,INLAND
11292,INLAND
11293,INLAND
11294,INLAND
11295,INLAND
11296,INLAND
11297,INLAND
11298,INLAND
11299,INLAND
11300,INLAND
11301,INLAND
11302,INLAND
11303,INLAND
11304,INLAND
11305,INLAND
11306,INLAND
11307,INLAND
11308,INLAND
11309,INLAND
11310,INLAND
11311,INLAND
11312,INLAND
11313,INLAND
11314,INLAND
11315,INLAND
11316,INLAND
11317,INLAND
11318,INLAND
11319,INLAND
11320,INLAND
11321,INLAND
11322,INLAND
11323,INLAND
11324,INLAND
11325,INLAND
11326,INLAND
11327,INLAND
11328,INLAND
11329,INLAND
11330,INLAND
11331,INLAND
11332,INLAND
11333,INLAND
11334,INLAND
11335,INLAND
11336,INLAND
11337,INLAND
11338,INLAND
11339,INLAND
11340,INLAND
11341,INLAND
11342,INLAND
11343,INLAND
11344,INLAND
11345,INLAND
11346,INLAND
11347,INLAND
11348,INLAND
11349,INLAND
11350,INLAND
11351,INLAND
11352,INLAND
11353,INLAND
11354,INLAND
11355,INLAND
11356,INLAND
11357,INLAND
11358,INLAND
11359,INLAND
11360,INLAND
11361,INLAND
11362,NEAR BAY
11363,INLAND
11364,NEAR BAY
11365,NEAR BAY
11366,NEAR BAY
11367,NEAR BAY
11368,NEAR BAY
11369,NEAR BAY
11370,NEAR BAY
