housing_id,housing_median_age,total_rooms,total_bedrooms,population,median_house_value,households
316,52,995,238,630,74100,237
317,42,606,132,531,70000,133
318,50,2680,736,1925,84600,667
319,40,1493,370,1144,81800,351
320,49,2207,565,1481,81400,520
321,48,856,189,435,81800,162
322,51,1293,297,984,85800,303
323,43,847,212,567,87100,159
324,2,541,154,380,83500,123
325,46,1066,253,825,79700,244
326,26,707,147,417,83400,155
327,20,1528,291,801,84700,287
328,17,909,215,646,80000,198
329,36,1391,293,855,76400,285
330,19,548,119,435,79700,136
331,23,4074,874,2736,82400,780
332,38,1613,445,1481,97700,414
333,35,463,134,327,97200,137
334,10,818,193,494,101600,179
335,16,1473,371,1231,86500,341
336,27,504,126,323,90500,109
337,39,1026,226,749,107600,225
338,31,769,183,693,84200,178
339,29,2103,391,1339,88900,354
340,22,330,76,282,80700,80
341,37,941,218,621,87100,195
342,28,992,17,732,85100,259
343,34,990,261,901,82000,260
344,32,1126,263,482,82800,150
345,47,1036,233,652,84600,213
346,44,1047,214,651,82100,166
347,30,1280,307,999,89300,286
348,18,1587,320,907,98300,306
349,45,1257,271,828,92300,230
350,33,1218,248,763,88800,254
351,24,1751,390,935,90000,349
352,15,2299,514,1437,95500,484
353,14,2457,624,1516,91700,482
354,13,998,211,597,100400,185
355,25,1685,343,949,94800,342
356,5,1827,307,881,164300,302
357,12,2781,574,1438,155500,519
358,6,1823,286,763,196900,270
359,8,2229,365,1297,279100,355
360,9,1513,231,545,252800,211
361,7,3266,491,1222,275400,533
362,3,1809,261,808,250000,219
363,4,794,111,329,329800,109
364,11,690,105,299,195500,109
365,1,1334,200,579,255900,202
366,41,414,54,137,311100,50
367,21,768,93,229,330000,93
368,52,4400,666,1476,248900,648
369,42,954,161,429,142900,154
370,50,1445,256,849,126300,255
371,40,1938,399,946,135800,331
372,49,856,178,571,130600,191
373,48,1790,454,1137,107900,386
374,51,617,131,378,111100,135
375,43,1383,275,853,122000,272
376,2,1325,277,764,118000,282
377,46,1227,294,928,95200,261
378,26,667,140,406,94300,133
379,62,1223,281,824,92500,280
380,41,1379,287,835,91800,259
381,21,1534,300,826,109400,295
382,52,1029,181,567,129500,211
383,42,771,147,355,143400,144
384,50,824,223,533,98200,166
385,40,1097,239,609,103100,215
386,49,1283,238,576,276800,236
387,48,1604,263,594,270900,286
388,51,2248,422,870,246200,377
389,43,2263,522,1027,224200,509
390,2,1571,349,693,229100,326
391,46,1520,402,815,211600,375
392,26,5083,1212,2420,256100,1146
393,20,1077,293,518,206300,276
394,17,1248,283,620,221300,275
395,36,1342,291,551,207400,266
396,19,3061,930,2556,350000,924
397,23,3171,698,1498,218200,696
398,38,1211,261,523,216700,227
399,35,979,175,374,270600,153
400,10,2269,380,1004,261400,371
401,16,1844,332,769,261300,334
402,27,2178,421,940,232200,423
403,39,1650,274,645,375400,256
404,31,1927,279,705,357300,288
405,29,2079,273,684,374400,275
406,22,1803,240,572,358800,236
407,37,2041,270,671,417500,253
408,28,3046,373,975,430500,365
409,34,2318,328,779,362900,312
410,32,2003,250,658,397000,244
411,47,2261,328,819,346800,335
412,44,1225,169,412,327100,168
413,30,2315,408,835,290100,369
414,18,2070,329,722,292000,306
415,45,2616,473,1085,270900,487
416,33,2640,366,973,371100,355
417,24,1978,293,723,335600,272
418,15,2220,335,903,371300,362
419,14,1125,195,356,344000,181
420,13,3078,494,1005,342200,462
421,25,3706,531,1205,370900,504
422,5,3000,457,987,350000,450
423,12,2863,460,1031,368600,448
424,6,2551,417,894,391800,404
425,8,2255,410,823,415300,377
426,9,3360,648,1232,284900,621
427,7,1693,391,669,287500,367
428,3,2252,592,989,272900,550
429,4,2495,491,1058,259600,464
430,11,1193,200,506,254500,207
431,1,1172,215,489,235600,218
432,41,2159,424,824,218400,388
433,21,2365,490,1034,229200,475
434,52,1895,442,920,192100,425
435,42,1650,395,841,179300,380
436,50,453,146,749,187500,137
437,40,409,97,208,138800,98
438,49,503,118,228,150000,100
439,48,499,127,287,140600,128
440,51,477,119,218,120000,106
441,43,1647,376,854,144800,355
442,2,3123,749,1695,144800,684
443,46,957,188,403,245500,172
444,26,589,132,288,200000,131
445,20,2026,548,963,173700,521
446,17,1829,536,1129,185600,516
447,36,895,198,386,182600,204
448,19,1909,416,811,227900,406
449,23,3022,696,1293,220700,675
450,38,1777,446,805,212000,431
451,35,2803,930,1372,271400,876
452,10,1465,439,862,268800,425
453,16,2619,682,1152,277800,616
454,27,1149,255,483,332500,249
455,39,2363,604,1558,338900,573
456,31,2604,837,1798,287500,769
457,29,685,141,266,384600,123
458,22,1756,465,2184,371400,422
459,37,1204,460,2016,350000,477
460,28,609,236,1349,500001,250
461,34,1087,371,3337,175000,350
462,32,2773,998,1721,241700,949
463,47,3218,1108,1675,216700,1000
464,44,1350,368,707,211300,350
465,30,3084,698,1424,210200,694
466,18,938,195,393,196400,189
467,45,1813,353,828,191700,339
468,33,1233,300,571,182300,292
469,24,2539,755,1382,175000,713
470,15,1267,324,792,165900,321
471,14,1665,404,815,156900,372
472,13,1659,367,788,164300,346
473,25,2225,460,1145,150000,430
474,5,2485,607,1354,150500,563
475,12,2031,450,958,169900,445
476,6,2932,668,1361,147400,608
477,8,2246,472,1005,152700,449
478,9,2052,435,924,182700,414
479,7,1999,417,780,179300,358
480,3,3007,691,1582,157700,636
481,4,2214,550,1213,153100,568
482,11,1088,305,486,250000,267
483,1,834,186,494,206300,175
484,41,1769,372,849,218800,365
485,21,2307,583,1127,198200,548
486,52,5161,1744,3276,253600,1742
487,42,3497,832,1493,257400,794
488,50,3774,744,1461,289500,679
489,40,2888,604,1253,241700,538
490,49,2153,517,1656,489600,459
491,48,1389,191,514,446200,202
492,51,1709,318,719,456300,295
493,43,1587,444,878,336800,449
494,2,1668,225,517,500001,214
495,46,3726,474,1366,500001,496
496,26,4048,663,1316,376900,590
497,20,3618,768,1508,309600,755
498,17,4076,920,1800,182300,815
499,36,2077,400,719,172700,326
500,19,1279,300,675,150800,255
501,23,1974,426,875,153600,363
502,38,335,83,152,106300,77
503,35,1375,307,843,142300,319
504,10,610,145,281,119400,132
505,16,1025,198,506,147900,204
506,27,2063,484,1054,132900,466
507,39,1872,419,1017,132500,414
508,31,3108,813,1623,126900,765
509,29,7355,2408,3100,143800,2051
510,22,2990,379,947,500001,361
511,37,2492,310,808,500001,315
512,28,2991,335,1018,500001,335
513,34,3242,366,1001,500001,352
514,32,3051,381,1005,466100,369
515,47,3494,396,1192,500001,383
516,44,1757,246,585,457800,227
517,30,2449,312,916,471600,316
518,18,1611,203,556,500001,179
519,45,3665,517,1470,398600,520
520,33,2474,403,1104,340700,398
521,24,3037,516,1242,289900,518
522,15,2269,323,805,335300,321
523,14,1316,177,378,333000,162
524,13,1153,235,481,241000,223
525,25,772,179,409,189600,160
526,5,1711,386,885,206300,373
527,12,2650,566,1468,215700,567
528,6,1038,220,482,210200,215
529,8,1527,320,825,208800,264
530,9,859,157,429,197900,158
531,7,970,217,528,201300,208
532,3,1045,239,496,190800,216
533,4,1408,280,718,207900,265
534,11,1222,264,630,215300,265
535,1,1169,263,723,212900,286
536,41,2020,535,959,292700,486
537,21,4145,869,3668,275000,855
538,52,2038,368,2037,200000,355
539,42,5154,12,3741,173400,1273
540,50,1241,309,821,102200,300
541,40,1468,363,870,220800,347
542,49,3997,1073,1901,242800,966
543,48,2873,763,1243,265400,663
544,51,1487,306,730,219000,327
545,43,1670,350,793,282100,299
546,2,2252,388,1033,372000,434
547,46,1731,377,872,225800,363
548,26,1710,481,849,220800,457
549,41,2388,559,1121,234500,518
550,21,2156,458,872,254200,445
551,52,1565,315,637,351800,297
552,42,1704,371,663,275000,340
553,50,1210,168,411,405400,172
554,40,2097,444,915,228100,413
555,49,1848,479,921,234000,477
556,48,955,284,585,162500,266
557,51,4329,1110,2086,243400,1053
558,43,3011,542,1303,273800,535
559,2,1049,185,374,248500,176
560,46,2504,516,979,244000,472
561,26,1846,471,827,240900,446
562,20,1705,246,658,306300,253
563,17,1542,289,654,240000,268
564,36,891,14,384,247100,146
565,19,4051,753,1499,286600,797
566,23,2646,581,1128,266700,522
567,38,2428,525,1110,229800,492
568,35,2567,436,1119,229300,415
569,10,7031,1249,2930,228400,1235
570,16,1914,365,897,206200,390
571,27,18634,2885,7427,350700,2718
572,39,5785,1379,2973,231000,1312
573,31,2876,648,1340,252900,632
574,29,6909,1554,2974,353900,1484
575,22,5679,1270,2690,291700,1151
576,37,1156,365,583,100000,326
577,28,14316,2045,5781,341600,2007
578,34,3596,467,1738,412500,512
579,32,3541,570,1478,248600,529
580,47,1808,302,746,254900,270
581,44,2879,480,1235,241500,455
582,30,3204,477,1411,295200,484
583,18,3866,531,1368,340400,521
584,45,2476,368,1048,274700,367
585,33,2211,350,1004,238600,365
586,24,2663,387,1086,266400,367
587,15,2599,366,922,330200,350
588,14,4569,824,1950,206800,819
589,13,2973,622,1413,209200,595
590,25,3115,625,1444,195800,568
591,5,1843,282,749,253500,269
592,12,2053,336,867,241800,329
593,6,6740,1073,2723,252500,1035
594,8,1751,269,731,263900,263
595,9,1663,295,781,227000,301
596,7,3716,657,1784,220900,652
597,3,2718,447,1156,259300,410
598,4,1420,272,645,232500,277
599,11,1893,310,821,231600,315
600,1,3906,790,1912,209400,770
601,41,3400,736,1487,223200,694
602,21,3402,758,1645,209900,710
603,52,4413,1107,2239,208200,1051
604,42,2304,618,1021,203800,552
605,50,2350,499,1105,195700,467
606,40,5914,1309,2999,190500,1295
607,49,1575,324,740,181000,284
608,48,1414,274,629,184900,244
609,51,848,202,314,190800,205
610,43,3051,685,1479,242200,668
611,2,4296,817,1732,188300,800
612,46,2898,557,1338,183500,550
613,26,1071,201,440,204200,192
614,20,2619,403,922,251900,393
615,17,1494,316,611,187500,288
616,36,2260,416,994,198200,412
617,19,1394,223,545,219000,230
618,23,1028,129,317,275000,143
619,38,3758,819,1573,245400,736
620,35,2163,470,925,177500,435
621,10,1699,408,768,171600,385
622,16,1555,289,620,183300,292
623,27,1114,206,425,175000,207
624,39,1498,313,1003,156700,305
625,31,726,147,519,157500,135
626,29,890,200,481,179800,198
627,22,2639,533,1209,205500,519
628,37,2562,554,1398,178900,525
629,28,361,69,158,262500,58
630,34,3008,659,1817,165000,664
631,32,1369,284,766,159700,289
632,47,1692,398,814,158300,328
633,44,1007,245,618,144800,239
634,30,3783,814,2139,166300,789
635,18,1507,242,632,191000,253
636,45,666,132,366,175000,134
637,33,2229,601,877,137500,485
638,24,2215,587,830,141700,573
639,15,1616,372,739,210900,379
640,14,1190,251,540,198300,266
641,13,4169,1047,2024,157400,962
642,25,2024,320,823,264700,334
643,5,1723,394,711,218400,353
644,12,2264,390,931,235100,368
645,6,1996,268,686,341800,270
646,8,2862,394,1030,367300,397
647,9,2183,383,976,243500,392
648,7,1037,207,552,167900,210
649,3,1134,153,340,371200,171
650,4,786,132,288,218900,132
651,11,1397,253,555,202700,248
652,1,2315,451,1006,186200,444
653,41,1613,339,776,188900,346
654,21,1421,298,609,180000,270
655,52,5778,1526,2441,202700,1352
656,42,3094,866,1364,181700,789
657,50,3905,1007,2197,166800,1044
658,40,3046,557,1333,183700,544
659,49,3516,710,1810,218000,703
660,48,998,178,531,191500,183
661,51,1464,244,672,194700,261
662,43,1463,292,695,187200,330
663,2,4124,1054,2162,223100,998
664,46,2380,769,1216,271300,643
665,26,1266,228,606,194100,239
666,20,2239,391,1203,190400,379
667,17,1571,317,874,189100,301
668,36,1246,221,637,184600,222
669,19,1501,287,703,197300,276
670,23,1468,252,733,192600,229
671,38,1118,219,625,192200,228
672,35,1097,208,568,194600,225
673,10,1719,303,836,193500,311
674,16,1755,365,952,202600,362
675,27,1687,348,568,83300,352
676,39,2262,391,1125,212600,366
677,31,2087,407,840,187800,401
678,29,1480,278,796,205700,283
679,22,1545,273,863,192900,267
680,37,2632,447,1349,205200,486
681,28,2261,443,929,213400,383
682,34,1670,308,957,183600,335
683,32,2141,535,1093,178400,555
684,47,3337,613,1489,219200,607
685,44,3184,716,1561,183100,628
686,30,2341,500,1256,157100,485
687,18,1197,269,695,157800,279
688,45,1131,278,560,161700,237
689,33,1164,284,632,152100,289
690,24,3495,787,1849,144900,750
691,15,2488,617,1287,179900,538
692,14,2681,508,1580,179100,536
693,13,2495,635,1571,159900,579
694,25,1689,461,828,161400,443
695,5,1298,306,835,170400,338
696,12,2693,789,1765,137500,724
697,6,746,12,387,178400,161
698,8,2444,651,1562,155200,618
699,9,1472,310,768,160900,309
700,7,2227,560,1140,167300,472
701,3,200,25,83,340000,31
702,4,1283,194,485,431000,171
703,11,2445,590,1189,301100,573
704,1,1307,236,586,241900,249
705,41,3785,936,2240,162500,792
706,21,2031,357,867,299200,352
707,52,8299,1326,3827,315500,1288
708,42,7518,1279,3827,216800,1294
709,50,1815,426,1280,218100,431
710,40,5367,1207,2667,170300,1047
711,49,1167,370,253,275000,137
712,48,2607,682,1401,184100,607
713,51,493,168,233,160000,152
714,43,1252,305,673,175000,308
715,2,1382,353,704,197500,314
716,46,500,110,273,150000,120
717,26,2333,538,1120,205600,540
718,20,1834,463,1105,170300,467
719,17,1415,348,569,190900,293
720,36,1352,342,691,196900,324
721,19,2116,503,1109,174000,448
722,23,1976,481,1197,170200,465
723,38,1779,413,1061,180900,400
724,35,3659,897,2479,150500,903
725,10,1892,428,1162,167100,389
726,16,1958,484,1146,148900,448
727,27,1553,253,724,196400,267
728,39,2412,394,975,191100,375
729,31,2110,389,952,187500,370
730,29,2179,401,1159,180600,399
731,22,2457,445,1129,182800,422
732,37,2147,399,1175,179300,401
733,28,1676,340,924,179400,328
734,34,2976,518,1424,210300,538
735,32,3036,533,1366,192300,500
736,47,2472,398,1171,198100,390
737,44,1487,249,641,196200,243
738,30,2012,347,880,181600,332
739,18,3342,10,1635,186900,557
740,45,3156,534,1495,188300,543
741,33,1748,318,914,184000,317
742,24,3429,681,1798,184700,694
743,15,3592,703,1625,179900,665
744,14,1035,247,599,167200,224
745,13,3028,811,2037,165400,703
746,25,2431,655,1854,154000,603
747,5,2069,500,1408,153500,478
748,12,1340,313,766,135400,271
749,6,1160,259,725,158300,274
750,8,2015,318,1019,240700,340
751,9,3882,816,1830,180700,743
752,7,3239,671,1469,230600,616
753,3,2932,739,1198,210800,624
754,4,2104,409,1039,165300,394
755,11,1694,251,690,254200,242
756,1,3000,419,1155,332600,415
757,17,2419,348,1066,350000,384
758,41,2280,610,1255,161200,587
759,21,5031,1168,2461,179300,1042
760,52,1547,372,1063,154300,356
761,42,3300,790,2181,161800,740
762,50,5018,1439,3069,161900,1299
763,40,1813,393,1093,165400,374
764,49,1997,436,1349,166600,437
765,48,901,191,599,149700,206
766,51,686,142,480,162100,149
767,43,1954,464,1293,152600,448
768,2,2630,722,1414,195200,634
769,46,1130,192,543,190600,184
770,26,1184,200,572,193800,194
771,20,656,115,342,200600,112
772,17,2544,643,2332,150000,603
773,36,1305,225,768,185300,234
774,19,1755,316,913,172700,299
775,23,2843,652,1726,174100,643
776,38,2538,494,1185,194400,501
777,35,1784,311,735,206700,278
778,10,1797,327,796,204500,319
779,16,410,76,252,175000,82
780,27,162,27,86,137500,25
781,39,9963,2031,5613,187200,1946
782,31,2361,458,1727,173600,467
783,29,862,167,407,163000,183
784,22,4335,808,2041,331600,734
785,37,1487,280,854,197600,301
786,28,3592,849,1907,197900,746
787,34,432,102,264,228100,77
788,32,1457,242,735,189500,249
789,47,1578,284,836,184200,292
790,44,2172,435,1377,180900,408
791,30,1340,245,789,172000,248
792,18,1116,199,662,177900,226
793,45,1885,307,853,173100,271
794,33,1180,212,664,172600,200
795,24,5267,1253,4065,182100,1113
796,15,1897,440,1109,179500,418
797,14,767,171,548,176000,185
798,13,691,127,431,192600,149
799,25,786,133,463,182700,160
800,5,5861,1516,5436,134900,1463
801,12,2784,723,2028,157600,693
802,6,4524,860,2426,190900,862
803,8,1468,304,1038,158200,282
804,9,1655,450,857,350000,430
805,7,1227,286,848,158200,291
806,3,1160,252,729,146100,220
807,4,952,172,369,226700,159
808,11,2072,352,1001,198700,350
809,1,2964,547,1472,221200,527
810,41,1032,173,453,208500,176
811,21,657,118,328,204200,134
812,52,1540,324,793,193200,302
813,42,1298,236,632,209500,204
814,50,1409,271,1002,164900,281
815,40,1383,259,808,161400,241
816,49,1151,216,727,187000,215
817,48,899,179,455,190400,185
818,51,1793,364,1534,156600,346
819,43,2485,518,1139,157300,550
820,2,1931,376,1175,168100,337
821,46,2329,465,1401,177600,453
822,26,6711,1374,3388,208900,1289
823,20,1939,356,841,169200,364
824,17,1642,346,705,163900,351
825,36,1619,293,1148,164700,310
826,19,517,108,391,156900,107
827,23,1570,274,992,168800,249
828,38,1213,221,790,174100,243
829,35,1826,309,1016,206500,313
830,10,2261,443,1039,203900,395
831,16,3666,711,2341,217000,703
832,27,1633,345,1382,159600,338
833,39,2155,522,1858,159800,437
834,31,1295,280,1156,154300,300
835,29,1295,295,1097,149600,328
836,22,1518,302,831,188600,268
837,37,3314,638,1873,238500,602
838,28,3009,497,1640,235300,514
839,34,2605,474,1568,261400,433
840,32,5159,832,3174,234400,817
841,47,1726,276,1186,231700,310
842,44,1816,365,1367,156300,355
843,30,2578,551,1680,222000,528
844,18,2576,418,1657,254400,410
845,45,1644,251,1033,244300,267
846,33,1606,240,1117,247000,268
847,24,3349,544,2003,236500,488
848,15,3475,686,2568,151400,653
849,14,1893,338,1461,213700,344
850,13,1727,302,1116,243600,273
851,25,6243,1273,3163,212500,1274
