housing_id,housing_median_age,total_rooms,total_bedrooms,population,median_house_value,households,add_id
224,17,1547,293,706,217100,268,AD224
225,36,3519,711,1883,187100,706,AD225
226,19,2070,354,804,239600,340,AD226
227,23,1321,263,506,229700,252,AD227
228,38,1694,259,610,257300,238,AD228
229,35,1938,341,768,246900,332,AD229
230,10,968,195,462,179900,184,AD230
231,16,1060,256,667,169600,235,AD231
232,27,2041,405,1059,203300,399,AD232
233,39,1813,271,637,263400,277,AD233
234,31,2718,451,1106,231800,454,AD234
235,29,3144,761,1737,140500,669,AD235
236,22,1802,459,1009,126000,390,AD236
237,37,882,195,737,122000,210,AD237
238,28,1621,452,1354,134700,491,AD238
239,34,2115,533,1530,139400,474,AD239
240,32,2021,528,1410,115400,480,AD240
241,47,2239,508,1390,137300,569,AD241
242,44,1477,300,1065,137000,269,AD242
243,30,1056,224,792,142600,245,AD243
244,18,898,244,779,137500,245,AD244
245,45,2968,710,2269,111700,610,AD245
246,33,1702,460,1227,126800,407,AD246
247,24,881,248,753,111300,241,AD247
248,15,494,114,547,114800,135,AD248
249,14,1776,473,1807,102300,440,AD249
250,13,1678,514,1700,131900,495,AD250
251,25,1637,463,1543,119100,393,AD251
252,5,1420,314,1085,80600,300,AD252
253,12,591,173,353,80600,137,AD253
254,6,745,153,473,88800,149,AD254
255,8,2272,498,1621,102400,483,AD255
256,9,1234,375,1183,98700,354,AD256
257,7,1017,328,836,100000,277,AD257
258,3,932,254,900,92300,263,AD258
259,4,2689,597,1888,94800,537,AD259
260,11,1547,415,1024,102000,341,AD260
261,1,2300,443,1225,158400,423,AD261
262,41,1752,399,1071,121600,376,AD262
263,21,1867,403,1128,129100,378,AD263
264,52,2430,502,1537,121400,484,AD264
265,42,1729,414,1240,102800,393,AD265
266,50,1026,180,469,160000,168,AD266
267,40,2170,428,1086,143900,425,AD267
268,49,2329,445,1144,151200,417,AD268
269,48,2492,415,1109,164400,375,AD269
270,51,2198,397,984,156500,369,AD270
271,43,142,31,575,225000,47,AD271
272,2,1183,205,496,174200,209,AD272
273,46,1070,193,555,166900,190,AD273
274,26,1766,332,869,163500,327,AD274
275,20,617,95,236,253000,106,AD275
276,17,1411,233,626,240700,214,AD276
277,36,2109,387,922,208100,329,AD277
278,19,1229,243,582,198100,256,AD278
279,23,954,217,546,172800,201,AD279
280,38,1643,262,620,336700,266,AD280
281,35,1355,195,442,318200,195,AD281
282,10,2317,336,955,285800,328,AD282
283,16,2459,317,916,293000,324,AD283
284,27,12842,2048,4985,371000,1967,AD284
285,39,1524,260,651,157300,267,AD285
286,31,3326,746,1704,135300,703,AD286
287,29,1985,440,1085,136700,407,AD287
288,22,1642,322,713,160700,284,AD288
289,37,893,177,468,140600,181,AD289
290,28,653,128,296,144000,121,AD290
291,34,1256,20,570,161900,218,AD291
292,32,977,194,446,156300,180,AD292
293,47,2324,397,968,176000,384,AD293
294,44,1583,349,857,145800,316,AD294
295,30,1612,342,912,141900,322,AD295
296,18,2424,533,1360,90700,452,AD296
297,45,1594,367,1074,90600,355,AD297
298,33,2118,413,965,107900,382,AD298
299,24,1575,358,933,107000,320,AD299
300,15,1764,397,987,98200,354,AD300
301,14,1187,261,907,89500,246,AD301
302,13,754,175,447,93800,165,AD302
303,25,2308,452,1299,96700,451,AD303
304,5,909,236,396,97500,157,AD304
305,12,1180,257,877,97300,268,AD305
306,6,2018,408,1111,91200,367,AD306
307,8,1368,282,790,91400,269,AD307
308,9,2744,547,1479,96200,554,AD308
309,7,2107,471,1173,120100,438,AD309
310,3,1748,362,1029,100000,366,AD310
311,4,2024,391,1030,94700,350,AD311
312,11,1116,259,826,85700,279,AD312
313,1,2036,510,1412,89300,454,AD313
314,41,1852,393,1132,101400,349,AD314
315,21,921,207,522,72500,159,AD315
316,52,995,238,630,74100,237,AD316
317,42,606,132,531,70000,133,AD317
318,50,2680,736,1925,84600,667,AD318
319,40,1493,370,1144,81800,351,AD319
320,49,2207,565,1481,81400,520,AD320
321,48,856,189,435,81800,162,AD321
322,51,1293,297,984,85800,303,AD322
323,43,847,212,567,87100,159,AD323
324,2,541,154,380,83500,123,AD324
325,46,1066,253,825,79700,244,AD325
326,26,707,147,417,83400,155,AD326
327,20,1528,291,801,84700,287,AD327
328,17,909,215,646,80000,198,AD328
329,36,1391,293,855,76400,285,AD329
330,19,548,119,435,79700,136,AD330
331,23,4074,874,2736,82400,780,AD331
332,38,1613,445,1481,97700,414,AD332
333,35,463,134,327,97200,137,AD333
334,10,818,193,494,101600,179,AD334
335,16,1473,371,1231,86500,341,AD335
336,27,504,126,323,90500,109,AD336
337,39,1026,226,749,107600,225,AD337
338,31,769,183,693,84200,178,AD338
339,29,2103,391,1339,88900,354,AD339
340,22,330,76,282,80700,80,AD340
341,37,941,218,621,87100,195,AD341
342,28,992,17,732,85100,259,AD342
343,34,990,261,901,82000,260,AD343
344,32,1126,263,482,82800,150,AD344
345,47,1036,233,652,84600,213,AD345
346,44,1047,214,651,82100,166,AD346
347,30,1280,307,999,89300,286,AD347
348,18,1587,320,907,98300,306,AD348
349,45,1257,271,828,92300,230,AD349
350,33,1218,248,763,88800,254,AD350
351,24,1751,390,935,90000,349,AD351
352,15,2299,514,1437,95500,484,AD352
353,14,2457,624,1516,91700,482,AD353
354,13,998,211,597,100400,185,AD354
355,25,1685,343,949,94800,342,AD355
356,5,1827,307,881,164300,302,AD356
357,12,2781,574,1438,155500,519,AD357
358,6,1823,286,763,196900,270,AD358
359,8,2229,365,1297,279100,355,AD359
360,9,1513,231,545,252800,211,AD360
361,7,3266,491,1222,275400,533,AD361
362,3,1809,261,808,250000,219,AD362
363,4,794,111,329,329800,109,AD363
364,11,690,105,299,195500,109,AD364
365,1,1334,200,579,255900,202,AD365
366,41,414,54,137,311100,50,AD366
367,21,768,93,229,330000,93,AD367
368,52,4400,666,1476,248900,648,AD368
369,42,954,161,429,142900,154,AD369
370,50,1445,256,849,126300,255,AD370
371,40,1938,399,946,135800,331,AD371
372,49,856,178,571,130600,191,AD372
373,48,1790,454,1137,107900,386,AD373
374,51,617,131,378,111100,135,AD374
375,43,1383,275,853,122000,272,AD375
376,2,1325,277,764,118000,282,AD376
377,46,1227,294,928,95200,261,AD377
378,26,667,140,406,94300,133,AD378
379,62,1223,281,824,92500,280,AD379
380,41,1379,287,835,91800,259,AD380
381,21,1534,300,826,109400,295,AD381
382,52,1029,181,567,129500,211,AD382
383,42,771,147,355,143400,144,AD383
384,50,824,223,533,98200,166,AD384
385,40,1097,239,609,103100,215,AD385
386,49,1283,238,576,276800,236,AD386
387,48,1604,263,594,270900,286,AD387
388,51,2248,422,870,246200,377,AD388
389,43,2263,522,1027,224200,509,AD389
390,2,1571,349,693,229100,326,AD390
391,46,1520,402,815,211600,375,AD391
392,26,5083,1212,2420,256100,1146,AD392
393,20,1077,293,518,206300,276,AD393
394,17,1248,283,620,221300,275,AD394
395,36,1342,291,551,207400,266,AD395
396,19,3061,930,2556,350000,924,AD396
397,23,3171,698,1498,218200,696,AD397
398,38,1211,261,523,216700,227,AD398
399,35,979,175,374,270600,153,AD399
400,10,2269,380,1004,261400,371,AD400
401,16,1844,332,769,261300,334,AD401
402,27,2178,421,940,232200,423,AD402
403,39,1650,274,645,375400,256,AD403
404,31,1927,279,705,357300,288,AD404
405,29,2079,273,684,374400,275,AD405
406,22,1803,240,572,358800,236,AD406
407,37,2041,270,671,417500,253,AD407
408,28,3046,373,975,430500,365,AD408
409,34,2318,328,779,362900,312,AD409
410,32,2003,250,658,397000,244,AD410
411,47,2261,328,819,346800,335,AD411
412,44,1225,169,412,327100,168,AD412
413,30,2315,408,835,290100,369,AD413
414,18,2070,329,722,292000,306,AD414
415,45,2616,473,1085,270900,487,AD415
416,33,2640,366,973,371100,355,AD416
417,24,1978,293,723,335600,272,AD417
418,15,2220,335,903,371300,362,AD418
419,14,1125,195,356,344000,181,AD419
420,13,3078,494,1005,342200,462,AD420
421,25,3706,531,1205,370900,504,AD421
422,5,3000,457,987,350000,450,AD422
423,12,2863,460,1031,368600,448,AD423
424,6,2551,417,894,391800,404,AD424
425,8,2255,410,823,415300,377,AD425
426,9,3360,648,1232,284900,621,AD426
427,7,1693,391,669,287500,367,AD427
428,3,2252,592,989,272900,550,AD428
429,4,2495,491,1058,259600,464,AD429
430,11,1193,200,506,254500,207,AD430
431,1,1172,215,489,235600,218,AD431
432,41,2159,424,824,218400,388,AD432
433,21,2365,490,1034,229200,475,AD433
434,52,1895,442,920,192100,425,AD434
435,42,1650,395,841,179300,380,AD435
436,50,453,146,749,187500,137,AD436
437,40,409,97,208,138800,98,AD437
438,49,503,118,228,150000,100,AD438
439,48,499,127,287,140600,128,AD439
440,51,477,119,218,120000,106,AD440
441,43,1647,376,854,144800,355,AD441
442,2,3123,749,1695,144800,684,AD442
443,46,957,188,403,245500,172,AD443
444,26,589,132,288,200000,131,AD444
445,20,2026,548,963,173700,521,AD445
446,17,1829,536,1129,185600,516,AD446
447,36,895,198,386,182600,204,AD447
448,19,1909,416,811,227900,406,AD448
449,23,3022,696,1293,220700,675,AD449
450,38,1777,446,805,212000,431,AD450
451,35,2803,930,1372,271400,876,AD451
452,10,1465,439,862,268800,425,AD452
453,16,2619,682,1152,277800,616,AD453
454,27,1149,255,483,332500,249,AD454
455,39,2363,604,1558,338900,573,AD455
456,31,2604,837,1798,287500,769,AD456
457,29,685,141,266,384600,123,AD457
458,22,1756,465,2184,371400,422,AD458
459,37,1204,460,2016,350000,477,AD459
460,28,609,236,1349,500001,250,AD460
461,34,1087,371,3337,175000,350,AD461
462,32,2773,998,1721,241700,949,AD462
463,47,3218,1108,1675,216700,1000,AD463
464,44,1350,368,707,211300,350,AD464
465,30,3084,698,1424,210200,694,AD465
466,18,938,195,393,196400,189,AD466
467,45,1813,353,828,191700,339,AD467
468,33,1233,300,571,182300,292,AD468
469,24,2539,755,1382,175000,713,AD469
470,15,1267,324,792,165900,321,AD470
471,14,1665,404,815,156900,372,AD471
472,13,1659,367,788,164300,346,AD472
473,25,2225,460,1145,150000,430,AD473
474,5,2485,607,1354,150500,563,AD474
475,12,2031,450,958,169900,445,AD475
476,6,2932,668,1361,147400,608,AD476
477,8,2246,472,1005,152700,449,AD477
478,9,2052,435,924,182700,414,AD478
479,7,1999,417,780,179300,358,AD479
480,3,3007,691,1582,157700,636,AD480
481,4,2214,550,1213,153100,568,AD481
482,11,1088,305,486,250000,267,AD482
483,1,834,186,494,206300,175,AD483
484,41,1769,372,849,218800,365,AD484
485,21,2307,583,1127,198200,548,AD485
486,52,5161,1744,3276,253600,1742,AD486
487,42,3497,832,1493,257400,794,AD487
488,50,3774,744,1461,289500,679,AD488
489,40,2888,604,1253,241700,538,AD489
490,49,2153,517,1656,489600,459,AD490
491,48,1389,191,514,446200,202,AD491
492,51,1709,318,719,456300,295,AD492
493,43,1587,444,878,336800,449,AD493
494,2,1668,225,517,500001,214,AD494
495,46,3726,474,1366,500001,496,AD495
496,26,4048,663,1316,376900,590,AD496
497,20,3618,768,1508,309600,755,AD497
498,17,4076,920,1800,182300,815,AD498
499,36,2077,400,719,172700,326,AD499
500,19,1279,300,675,150800,255,AD500
501,23,1974,426,875,153600,363,AD501
502,38,335,83,152,106300,77,AD502
503,35,1375,307,843,142300,319,AD503
504,10,610,145,281,119400,132,AD504
505,16,1025,198,506,147900,204,AD505
506,27,2063,484,1054,132900,466,AD506
507,39,1872,419,1017,132500,414,AD507
508,31,3108,813,1623,126900,765,AD508
509,29,7355,2408,3100,143800,2051,AD509
510,22,2990,379,947,500001,361,AD510
511,37,2492,310,808,500001,315,AD511
512,28,2991,335,1018,500001,335,AD512
513,34,3242,366,1001,500001,352,AD513
514,32,3051,381,1005,466100,369,AD514
515,47,3494,396,1192,500001,383,AD515
516,44,1757,246,585,457800,227,AD516
517,30,2449,312,916,471600,316,AD517
518,18,1611,203,556,500001,179,AD518
519,45,3665,517,1470,398600,520,AD519
520,33,2474,403,1104,340700,398,AD520
521,24,3037,516,1242,289900,518,AD521
522,15,2269,323,805,335300,321,AD522
523,14,1316,177,378,333000,162,AD523
524,13,1153,235,481,241000,223,AD524
525,25,772,179,409,189600,160,AD525
526,5,1711,386,885,206300,373,AD526
527,12,2650,566,1468,215700,567,AD527
528,6,1038,220,482,210200,215,AD528
529,8,1527,320,825,208800,264,AD529
530,9,859,157,429,197900,158,AD530
531,7,970,217,528,201300,208,AD531
532,3,1045,239,496,190800,216,AD532
533,4,1408,280,718,207900,265,AD533
534,11,1222,264,630,215300,265,AD534
535,1,1169,263,723,212900,286,AD535
536,41,2020,535,959,292700,486,AD536
537,21,4145,869,3668,275000,855,AD537
538,52,2038,368,2037,200000,355,AD538
539,42,5154,12,3741,173400,1273,AD539
540,50,1241,309,821,102200,300,AD540
541,40,1468,363,870,220800,347,AD541
542,49,3997,1073,1901,242800,966,AD542
543,48,2873,763,1243,265400,663,AD543
544,51,1487,306,730,219000,327,AD544
545,43,1670,350,793,282100,299,AD545
546,2,2252,388,1033,372000,434,AD546
547,46,1731,377,872,225800,363,AD547
548,26,1710,481,849,220800,457,AD548
549,41,2388,559,1121,234500,518,AD549
550,21,2156,458,872,254200,445,AD550
551,52,1565,315,637,351800,297,AD551
552,42,1704,371,663,275000,340,AD552
553,50,1210,168,411,405400,172,AD553
554,40,2097,444,915,228100,413,AD554
555,49,1848,479,921,234000,477,AD555
556,48,955,284,585,162500,266,AD556
557,51,4329,1110,2086,243400,1053,AD557
558,43,3011,542,1303,273800,535,AD558
559,2,1049,185,374,248500,176,AD559
560,46,2504,516,979,244000,472,AD560
561,26,1846,471,827,240900,446,AD561
562,20,1705,246,658,306300,253,AD562
563,17,1542,289,654,240000,268,AD563
564,36,891,14,384,247100,146,AD564
565,19,4051,753,1499,286600,797,AD565
566,23,2646,581,1128,266700,522,AD566
567,38,2428,525,1110,229800,492,AD567
568,35,2567,436,1119,229300,415,AD568
569,10,7031,1249,2930,228400,1235,AD569
570,16,1914,365,897,206200,390,AD570
571,27,18634,2885,7427,350700,2718,AD571
572,39,5785,1379,2973,231000,1312,AD572
573,31,2876,648,1340,252900,632,AD573
574,29,6909,1554,2974,353900,1484,AD574
575,22,5679,1270,2690,291700,1151,AD575
576,37,1156,365,583,100000,326,AD576
577,28,14316,2045,5781,341600,2007,AD577
578,34,3596,467,1738,412500,512,AD578
579,32,3541,570,1478,248600,529,AD579
580,47,1808,302,746,254900,270,AD580
581,44,2879,480,1235,241500,455,AD581
582,30,3204,477,1411,295200,484,AD582
583,18,3866,531,1368,340400,521,AD583
584,45,2476,368,1048,274700,367,AD584
585,33,2211,350,1004,238600,365,AD585
586,24,2663,387,1086,266400,367,AD586
587,15,2599,366,922,330200,350,AD587
588,14,4569,824,1950,206800,819,AD588
589,13,2973,622,1413,209200,595,AD589
590,25,3115,625,1444,195800,568,AD590
591,5,1843,282,749,253500,269,AD591
592,12,2053,336,867,241800,329,AD592
593,6,6740,1073,2723,252500,1035,AD593
594,8,1751,269,731,263900,263,AD594
595,9,1663,295,781,227000,301,AD595
596,7,3716,657,1784,220900,652,AD596
597,3,2718,447,1156,259300,410,AD597
598,4,1420,272,645,232500,277,AD598
599,11,1893,310,821,231600,315,AD599
600,1,3906,790,1912,209400,770,AD600
601,41,3400,736,1487,223200,694,AD601
602,21,3402,758,1645,209900,710,AD602
603,52,4413,1107,2239,208200,1051,AD603
604,42,2304,618,1021,203800,552,AD604
605,50,2350,499,1105,195700,467,AD605
606,40,5914,1309,2999,190500,1295,AD606
607,49,1575,324,740,181000,284,AD607
608,48,1414,274,629,184900,244,AD608
609,51,848,202,314,190800,205,AD609
610,43,3051,685,1479,242200,668,AD610
611,2,4296,817,1732,188300,800,AD611
612,46,2898,557,1338,183500,550,AD612
613,26,1071,201,440,204200,192,AD613
614,20,2619,403,922,251900,393,AD614
615,17,1494,316,611,187500,288,AD615
616,36,2260,416,994,198200,412,AD616
617,19,1394,223,545,219000,230,AD617
618,23,1028,129,317,275000,143,AD618
619,38,3758,819,1573,245400,736,AD619
620,35,2163,470,925,177500,435,AD620
621,10,1699,408,768,171600,385,AD621
622,16,1555,289,620,183300,292,AD622
623,27,1114,206,425,175000,207,AD623
624,39,1498,313,1003,156700,305,AD624
625,31,726,147,519,157500,135,AD625
626,29,890,200,481,179800,198,AD626
627,22,2639,533,1209,205500,519,AD627
628,37,2562,554,1398,178900,525,AD628
629,28,361,69,158,262500,58,AD629
630,34,3008,659,1817,165000,664,AD630
631,32,1369,284,766,159700,289,AD631
632,47,1692,398,814,158300,328,AD632
633,44,1007,245,618,144800,239,AD633
634,30,3783,814,2139,166300,789,AD634
635,18,1507,242,632,191000,253,AD635
636,45,666,132,366,175000,134,AD636
637,33,2229,601,877,137500,485,AD637
638,24,2215,587,830,141700,573,AD638
639,15,1616,372,739,210900,379,AD639
640,14,1190,251,540,198300,266,AD640
641,13,4169,1047,2024,157400,962,AD641
642,25,2024,320,823,264700,334,AD642
643,5,1723,394,711,218400,353,AD643
644,12,2264,390,931,235100,368,AD644
645,6,1996,268,686,341800,270,AD645
646,8,2862,394,1030,367300,397,AD646
647,9,2183,383,976,243500,392,AD647
648,7,1037,207,552,167900,210,AD648
649,3,1134,153,340,371200,171,AD649
650,4,786,132,288,218900,132,AD650
651,11,1397,253,555,202700,248,AD651
652,1,2315,451,1006,186200,444,AD652
653,41,1613,339,776,188900,346,AD653
654,21,1421,298,609,180000,270,AD654
655,52,5778,1526,2441,202700,1352,AD655
656,42,3094,866,1364,181700,789,AD656
657,50,3905,1007,2197,166800,1044,AD657
658,40,3046,557,1333,183700,544,AD658
659,49,3516,710,1810,218000,703,AD659
660,48,998,178,531,191500,183,AD660
661,51,1464,244,672,194700,261,AD661
662,43,1463,292,695,187200,330,AD662
663,2,4124,1054,2162,223100,998,AD663
664,46,2380,769,1216,271300,643,AD664
665,26,1266,228,606,194100,239,AD665
666,20,2239,391,1203,190400,379,AD666
667,17,1571,317,874,189100,301,AD667
668,36,1246,221,637,184600,222,AD668
669,19,1501,287,703,197300,276,AD669
670,23,1468,252,733,192600,229,AD670
671,38,1118,219,625,192200,228,AD671
672,35,1097,208,568,194600,225,AD672
673,10,1719,303,836,193500,311,AD673
674,16,1755,365,952,202600,362,AD674
675,27,1687,348,568,83300,352,AD675
676,39,2262,391,1125,212600,366,AD676
677,31,2087,407,840,187800,401,AD677
678,29,1480,278,796,205700,283,AD678
679,22,1545,273,863,192900,267,AD679
680,37,2632,447,1349,205200,486,AD680
681,28,2261,443,929,213400,383,AD681
682,34,1670,308,957,183600,335,AD682
683,32,2141,535,1093,178400,555,AD683
684,47,3337,613,1489,219200,607,AD684
685,44,3184,716,1561,183100,628,AD685
