sanction,owner_id,LoanId
Yes,FW191,291
No,FW192,292
Yes,FW193,293
Yes,FW194,294
No,FW195,295
Yes,FW196,296
Yes,FW197,297
No,FW198,298
Yes,FW199,299
Yes,FW200,300
Yes,FW201,301
No,FW202,302
No,FW203,303
No,FW204,304
Yes,FW205,305
No,FW206,306
No,FW207,307
Yes,FW208,308
Yes,FW209,309
No,FW210,310
No,FW211,311
Yes,FW212,312
No,FW213,313
No,FW214,314
No,FW215,315
No,FW216,316
No,FW217,317
Yes,FW218,318
No,FW219,319
Yes,FW220,320
Yes,FW221,321
Yes,FW222,322
Yes,FW223,323
No,FW224,324
Yes,FW225,325
No,FW226,326
No,FW227,327
No,FW228,328
Yes,FW229,329
No,FW230,330
Yes,FW231,331
No,FW232,332
No,FW233,333
Yes,FW234,334
No,FW235,335
Yes,FW236,336
No,FW237,337
No,FW238,338
No,FW239,339
Yes,FW240,340
No,FW241,341
Yes,FW242,342
Yes,FW243,343
No,FW244,344
Yes,FW245,345
Yes,FW246,346
No,FW247,347
No,FW248,348
No,FW249,349
Yes,FW250,350
No,FW251,351
Yes,FW252,352
Yes,FW253,353
Yes,FW254,354
No,FW255,355
No,FW256,356
Yes,FW257,357
No,FW258,358
No,FW259,359
No,FW260,360
No,FW261,361
No,FW262,362
No,FW263,363
Yes,FW264,364
Yes,FW265,365
No,FW266,366
Yes,FW267,367
No,FW268,368
No,FW269,369
No,FW270,370
Yes,FW271,371
No,FW272,372
No,FW273,373
No,FW274,374
Yes,FW275,375
Yes,FW276,376
Yes,FW277,377
Yes,FW278,378
Yes,FW279,379
No,FW280,380
No,FW281,381
No,FW282,382
Yes,FW283,383
No,FW284,384
Yes,FW285,385
Yes,FW286,386
No,FW287,387
Yes,FW288,388
Yes,FW289,389
No,FW290,390
Yes,FW291,391
No,FW292,392
No,FW293,393
Yes,FW294,394
No,FW295,395
No,FW296,396
No,FW297,397
Yes,FW298,398
No,FW299,399
Yes,FW300,400
No,FW301,401
No,FW302,402
No,FW303,403
No,FW304,404
Yes,FW305,405
No,FW306,406
No,FW307,407
Yes,FW308,408
Yes,FW309,409
No,FW310,410
No,FW311,411
No,FW312,412
No,FW313,413
Yes,FW314,414
Yes,FW315,415
Yes,FW316,416
No,FW317,417
No,FW318,418
No,FW319,419
No,FW320,420
Yes,FW321,421
No,FW322,422
No,FW323,423
Yes,FW324,424
No,FW325,425
No,FW326,426
No,FW327,427
No,FW328,428
No,FW329,429
No,FW330,430
No,FW331,431
No,FW332,432
Yes,FW333,433
No,FW334,434
No,FW335,435
No,FW336,436
Yes,FW337,437
No,FW338,438
No,FW339,439
No,FW340,440
No,FW341,441
Yes,FW342,442
Yes,FW343,443
Yes,FW344,444
Yes,FW345,445
Yes,FW346,446
Yes,FW347,447
No,FW348,448
Yes,FW349,449
No,FW350,450
No,FW351,451
Yes,FW352,452
No,FW353,453
Yes,FW354,454
Yes,FW355,455
No,FW356,456
No,FW357,457
No,FW358,458
Yes,FW359,459
No,FW360,460
No,FW361,461
Yes,FW362,462
Yes,FW363,463
No,FW364,464
No,FW365,465
No,FW366,466
No,FW367,467
Yes,FW368,468
No,FW369,469
Yes,FW370,470
No,FW371,471
Yes,FW372,472
No,FW373,473
Yes,FW374,474
Yes,FW375,475
No,FW376,476
Yes,FW377,477
Yes,FW378,478
No,FW379,479
No,FW380,480
Yes,FW381,481
Yes,FW382,482
Yes,FW383,483
Yes,FW384,484
Yes,FW385,485
No,FW386,486
Yes,FW387,487
Yes,FW388,488
Yes,FW389,489
No,FW390,490
Yes,FW391,491
No,FW392,492
Yes,FW393,493
Yes,FW394,494
No,FW395,495
No,FW396,496
Yes,FW397,497
Yes,FW398,498
Yes,FW399,499
Yes,FW400,500
Yes,FW401,501
No,FW402,502
Yes,FW403,503
No,FW404,504
No,FW405,505
Yes,FW406,506
No,FW407,507
No,FW408,508
Yes,FW409,509
No,FW410,510
Yes,FW411,511
Yes,FW412,512
No,FW413,513
No,FW414,514
No,FW415,515
No,FW416,516
Yes,FW417,517
No,FW418,518
No,FW419,519
Yes,FW420,520
Yes,FW421,521
Yes,FW422,522
No,FW423,523
Yes,FW424,524
Yes,FW425,525
No,FW426,526
Yes,FW427,527
No,FW428,528
No,FW429,529
No,FW430,530
Yes,FW431,531
No,FW432,532
Yes,FW433,533
No,FW434,534
No,FW435,535
No,FW436,536
No,FW437,537
No,FW438,538
No,FW439,539
No,FW440,540
No,FW441,541
Yes,FW442,542
No,FW443,543
Yes,FW444,544
No,FW445,545
No,FW446,546
No,FW447,547
No,FW448,548
No,FW449,549
Yes,FW450,550
Yes,FW451,551
Yes,FW452,552
Yes,FW453,553
Yes,FW454,554
Yes,FW455,555
No,FW456,556
Yes,FW457,557
Yes,FW458,558
Yes,FW459,559
No,FW460,560
Yes,FW461,561
No,FW462,562
Yes,FW463,563
No,FW464,564
Yes,FW465,565
Yes,FW466,566
No,FW467,567
Yes,FW468,568
Yes,FW469,569
Yes,FW470,570
No,FW471,571
Yes,FW472,572
No,FW473,573
No,FW474,574
No,FW475,575
No,FW476,576
Yes,FW477,577
Yes,FW478,578
No,FW479,579
Yes,FW480,580
Yes,FW481,581
Yes,FW482,582
No,FW483,583
No,FW484,584
No,FW485,585
No,FW486,586
No,FW487,587
Yes,FW488,588
Yes,FW489,589
No,FW490,590
No,FW491,591
No,FW492,592
No,FW493,593
Yes,FW494,594
Yes,FW495,595
No,FW496,596
Yes,FW497,597
No,FW498,598
Yes,FW499,599
No,FW500,600
Yes,FW501,601
Yes,FW502,602
Yes,FW503,603
Yes,FW504,604
No,FW505,605
Yes,FW506,606
No,FW507,607
No,FW508,608
Yes,FW509,609
Yes,FW510,610
Yes,FW511,611
Yes,FW512,612
No,FW513,613
No,FW514,614
Yes,FW515,615
Yes,FW516,616
No,FW517,617
No,FW518,618
Yes,FW519,619
No,FW520,620
Yes,FW521,621
No,FW522,622
No,FW523,623
Yes,FW524,624
Yes,FW525,625
No,FW526,626
Yes,FW527,627
Yes,FW528,628
Yes,FW529,629
Yes,FW530,630
Yes,FW531,631
Yes,FW532,632
No,FW533,633
Yes,FW534,634
Yes,FW535,635
No,FW536,636
Yes,FW537,637
No,FW538,638
No,FW539,639
No,FW540,640
No,FW541,641
No,FW542,642
No,FW543,643
No,FW544,644
No,FW545,645
Yes,FW546,646
No,FW547,647
No,FW548,648
Yes,FW549,649
No,FW550,650
Yes,FW551,651
Yes,FW552,652
Yes,FW553,653
No,FW554,654
No,FW555,655
No,FW556,656
Yes,FW557,657
No,FW558,658
No,FW559,659
Yes,FW560,660
Yes,FW561,661
Yes,FW562,662
No,FW563,663
Yes,FW564,664
Yes,FW565,665
No,FW566,666
No,FW567,667
Yes,FW568,668
No,FW569,669
Yes,FW570,670
No,FW571,671
Yes,FW572,672
Yes,FW573,673
Yes,FW574,674
No,FW575,675
No,FW576,676
Yes,FW577,677
No,FW578,678
Yes,FW579,679
No,FW580,680
Yes,FW581,681
No,FW582,682
Yes,FW583,683
No,FW584,684
Yes,FW585,685
No,FW586,686
Yes,FW587,687
Yes,FW588,688
Yes,FW589,689
Yes,FW590,690
No,FW591,691
Yes,FW592,692
No,FW593,693
No,FW594,694
No,FW595,695
Yes,FW596,696
No,FW597,697
Yes,FW598,698
No,FW599,699
No,FW600,700
Yes,FW601,701
Yes,FW602,702
Yes,FW603,703
No,FW604,704
No,FW605,705
No,FW606,706
No,FW607,707
Yes,FW608,708
No,FW609,709
Yes,FW610,710
No,FW611,711
Yes,FW612,712
No,FW613,713
No,FW614,714
Yes,FW615,715
No,FW616,716
Yes,FW617,717
Yes,FW618,718
Yes,FW619,719
No,FW620,720
No,FW621,721
Yes,FW622,722
Yes,FW623,723
No,FW624,724
Yes,FW625,725
Yes,FW626,726
Yes,FW627,727
Yes,FW628,728
No,FW629,729
Yes,FW630,730
No,FW631,731
Yes,FW632,732
No,FW633,733
Yes,FW634,734
No,FW635,735
Yes,FW636,736
Yes,FW637,737
Yes,FW638,738
Yes,FW639,739
Yes,FW640,740
Yes,FW641,741
Yes,FW642,742
No,FW643,743
Yes,FW644,744
No,FW645,745
No,FW646,746
Yes,FW647,747
Yes,FW648,748
Yes,FW649,749
No,FW650,750
No,FW651,751
No,FW652,752
Yes,FW653,753
Yes,FW654,754
No,FW655,755
No,FW656,756
Yes,FW657,757
No,FW658,758
Yes,FW659,759
No,FW660,760
No,FW661,761
Yes,FW662,762
Yes,FW663,763
Yes,FW664,764
No,FW665,765
Yes,FW666,766
Yes,FW667,767
No,FW668,768
No,FW669,769
Yes,FW670,770
No,FW671,771
Yes,FW672,772
No,FW673,773
No,FW674,774
Yes,FW675,775
Yes,FW676,776
Yes,FW677,777
No,FW678,778
Yes,FW679,779
Yes,FW680,780
No,FW681,781
No,FW682,782
Yes,FW683,783
No,FW684,784
Yes,FW685,785
No,FW686,786
No,FW687,787
No,FW688,788
Yes,FW689,789
No,FW690,790
Yes,FW691,791
No,FW692,792
Yes,FW693,793
Yes,FW694,794
Yes,FW695,795
Yes,FW696,796
Yes,FW697,797
Yes,FW698,798
No,FW699,799
Yes,FW700,800
No,FW701,801
No,FW702,802
Yes,FW703,803
No,FW704,804
Yes,FW705,805
No,FW706,806
Yes,FW707,807
Yes,FW708,808
No,FW709,809
No,FW710,810
Yes,FW711,811
No,FW712,812
No,FW713,813
Yes,FW714,814
No,FW715,815
No,FW716,816
No,FW717,817
Yes,FW718,818
Yes,FW719,819
Yes,FW720,820
Yes,FW721,821
No,FW722,822
Yes,FW723,823
No,FW724,824
Yes,FW725,825
Yes,FW726,826
Yes,FW727,827
Yes,FW728,828
No,FW729,829
No,FW730,830
No,FW731,831
No,FW732,832
No,FW733,833
Yes,FW734,834
Yes,FW735,835
Yes,FW736,836
No,FW737,837
Yes,FW738,838
No,FW739,839
Yes,FW740,840
Yes,FW741,841
No,FW742,842
Yes,FW743,843
No,FW744,844
Yes,FW745,845
No,FW746,846
No,FW747,847
Yes,FW748,848
Yes,FW749,849
No,FW750,850
No,FW751,851
No,FW752,852
Yes,FW753,853
Yes,FW754,854
Yes,FW755,855
No,FW756,856
No,FW757,857
Yes,FW758,858
Yes,FW759,859
No,FW760,860
Yes,FW761,861
Yes,FW762,862
No,FW763,863
No,FW764,864
No,FW765,865
Yes,FW766,866
Yes,FW767,867
No,FW768,868
Yes,FW769,869
Yes,FW770,870
No,FW771,871
Yes,FW772,872
No,FW773,873
No,FW774,874
No,FW775,875
No,FW776,876
No,FW777,877
Yes,FW778,878
No,FW779,879
Yes,FW780,880
Yes,FW781,881
Yes,FW782,882
Yes,FW783,883
Yes,FW784,884
No,FW785,885
No,FW786,886
No,FW787,887
No,FW788,888
Yes,FW789,889
Yes,FW790,890
No,FW791,891
No,FW792,892
Yes,FW793,893
Yes,FW794,894
Yes,FW795,895
Yes,FW796,896
No,FW797,897
Yes,FW798,898
No,FW799,899
No,FW800,900
No,FW801,901
No,FW802,902
Yes,FW803,903
Yes,FW804,904
Yes,FW805,905
No,FW806,906
Yes,FW807,907
No,FW808,908
Yes,FW809,909
No,FW810,910
No,FW811,911
Yes,FW812,912
Yes,FW813,913
No,FW814,914
No,FW815,915
No,FW816,916
No,FW817,917
Yes,FW818,918
No,FW819,919
No,FW820,920
Yes,FW821,921
Yes,FW822,922
Yes,FW823,923
Yes,FW824,924
Yes,FW825,925
Yes,FW826,926
No,FW827,927
No,FW828,928
Yes,FW829,929
Yes,FW830,930
No,FW831,931
Yes,FW832,932
Yes,FW833,933
No,FW834,934
Yes,FW835,935
No,FW836,936
Yes,FW837,937
Yes,FW838,938
Yes,FW839,939
No,FW840,940
Yes,FW841,941
No,FW842,942
No,FW843,943
Yes,FW844,944
Yes,FW845,945
No,FW846,946
No,FW847,947
Yes,FW848,948
No,FW849,949
Yes,FW850,950
Yes,FW851,951
No,FW852,952
No,FW853,953
Yes,FW854,954
Yes,FW855,955
Yes,FW856,956
No,FW857,957
No,FW858,958
Yes,FW859,959
No,FW860,960
Yes,FW861,961
No,FW862,962
Yes,FW863,963
Yes,FW864,964
Yes,FW865,965
No,FW866,966
Yes,FW867,967
No,FW868,968
Yes,FW869,969
No,FW870,970
No,FW871,971
No,FW872,972
No,FW873,973
No,FW874,974
No,FW875,975
No,FW876,976
Yes,FW877,977
Yes,FW878,978
Yes,FW879,979
No,FW880,980
No,FW881,981
No,FW882,982
No,FW883,983
Yes,FW884,984
Yes,FW885,985
No,FW886,986
Yes,FW887,987
Yes,FW888,988
No,FW889,989
Yes,FW890,990
Yes,FW891,991
No,FW892,992
Yes,FW893,993
No,FW894,994
No,FW895,995
Yes,FW896,996
Yes,FW897,997
No,FW898,998
Yes,FW899,999
Yes,FW900,1000
Yes,FW901,1001
No,FW902,1002
Yes,FW903,1003
Yes,FW904,1004
Yes,FW905,1005
No,FW906,1006
Yes,FW907,1007
No,FW908,1008
No,FW909,1009
Yes,FW910,1010
Yes,FW911,1011
Yes,FW912,1012
No,FW913,1013
Yes,FW914,1014
Yes,FW915,1015
Yes,FW916,1016
No,FW917,1017
Yes,FW918,1018
Yes,FW919,1019
No,FW920,1020
Yes,FW921,1021
Yes,FW922,1022
No,FW923,1023
No,FW924,1024
No,FW925,1025
Yes,FW926,1026
No,FW927,1027
No,FW928,1028
Yes,FW929,1029
No,FW930,1030
No,FW931,1031
No,FW932,1032
Yes,FW933,1033
No,FW934,1034
No,FW935,1035
No,FW936,1036
Yes,FW937,1037
Yes,FW938,1038
No,FW939,1039
Yes,FW940,1040
Yes,FW941,1041
No,FW942,1042
No,FW943,1043
No,FW944,1044
Yes,FW945,1045
No,FW946,1046
Yes,FW947,1047
Yes,FW948,1048
No,FW949,1049
Yes,FW950,1050
No,FW951,1051
No,FW952,1052
Yes,FW953,1053
No,FW954,1054
Yes,FW955,1055
Yes,FW956,1056
Yes,FW957,1057
No,FW958,1058
No,FW959,1059
No,FW960,1060
Yes,FW961,1061
Yes,FW962,1062
Yes,FW963,1063
Yes,FW964,1064
No,FW965,1065
Yes,FW966,1066
Yes,FW967,1067
Yes,FW968,1068
No,FW969,1069
No,FW970,1070
No,FW971,1071
Yes,FW972,1072
Yes,FW973,1073
Yes,FW974,1074
No,FW975,1075
No,FW976,1076
Yes,FW977,1077
Yes,FW978,1078
Yes,FW979,1079
Yes,FW980,1080
Yes,FW981,1081
No,FW982,1082
No,FW983,1083
Yes,FW984,1084
Yes,FW985,1085
No,FW986,1086
No,FW987,1087
No,FW988,1088
Yes,FW989,1089
Yes,FW990,1090
Yes,FW991,1091
Yes,FW992,1092
Yes,FW993,1093
No,FW994,1094
No,FW995,1095
Yes,FW996,1096
No,FW997,1097
Yes,FW998,1098
Yes,FW999,1099
No,FW1000,1100
No,FW1001,1101
Yes,FW1002,1102
No,FW1003,1103
Yes,FW1004,1104
Yes,FW1005,1105
No,FW1006,1106
No,FW1007,1107
Yes,FW1008,1108
Yes,FW1009,1109
Yes,FW1010,1110
No,FW1011,1111
Yes,FW1012,1112
No,FW1013,1113
No,FW1014,1114
No,FW1015,1115
Yes,FW1016,1116
No,FW1017,1117
Yes,FW1018,1118
Yes,FW1019,1119
Yes,FW1020,1120
Yes,FW1021,1121
No,FW1022,1122
No,FW1023,1123
No,FW1024,1124
Yes,FW1025,1125
No,FW1026,1126
No,FW1027,1127
Yes,FW1028,1128
Yes,FW1029,1129
Yes,FW1030,1130
No,FW1031,1131
No,FW1032,1132
Yes,FW1033,1133
Yes,FW1034,1134
Yes,FW1035,1135
No,FW1036,1136
No,FW1037,1137
No,FW1038,1138
No,FW1039,1139
Yes,FW1040,1140
Yes,FW1041,1141
No,FW1042,1142
Yes,FW1043,1143
No,FW1044,1144
Yes,FW1045,1145
No,FW1046,1146
No,FW1047,1147
Yes,FW1048,1148
Yes,FW1049,1149
No,FW1050,1150
No,FW1051,1151
No,FW1052,1152
No,FW1053,1153
Yes,FW1054,1154
No,FW1055,1155
Yes,FW1056,1156
Yes,FW1057,1157
No,FW1058,1158
No,FW1059,1159
No,FW1060,1160
Yes,FW1061,1161
Yes,FW1062,1162
Yes,FW1063,1163
Yes,FW1064,1164
No,FW1065,1165
No,FW1066,1166
Yes,FW1067,1167
No,FW1068,1168
Yes,FW1069,1169
Yes,FW1070,1170
No,FW1071,1171
No,FW1072,1172
Yes,FW1073,1173
No,FW1074,1174
Yes,FW1075,1175
No,FW1076,1176
Yes,FW1077,1177
No,FW1078,1178
Yes,FW1079,1179
Yes,FW1080,1180
Yes,FW1081,1181
Yes,FW1082,1182
Yes,FW1083,1183
Yes,FW1084,1184
No,FW1085,1185
No,FW1086,1186
No,FW1087,1187
No,FW1088,1188
Yes,FW1089,1189
No,FW1090,1190
Yes,FW1091,1191
Yes,FW1092,1192
Yes,FW1093,1193
No,FW1094,1194
No,FW1095,1195
Yes,FW1096,1196
Yes,FW1097,1197
No,FW1098,1198
Yes,FW1099,1199
Yes,FW1100,1200
No,FW1101,1201
No,FW1102,1202
No,FW1103,1203
Yes,FW1104,1204
Yes,FW1105,1205
No,FW1106,1206
No,FW1107,1207
No,FW1108,1208
Yes,FW1109,1209
Yes,FW1110,1210
Yes,FW1111,1211
No,FW1112,1212
Yes,FW1113,1213
No,FW1114,1214
Yes,FW1115,1215
Yes,FW1116,1216
No,FW1117,1217
No,FW1118,1218
No,FW1119,1219
Yes,FW1120,1220
No,FW1121,1221
No,FW1122,1222
No,FW1123,1223
No,FW1124,1224
No,FW1125,1225
Yes,FW1126,1226
No,FW1127,1227
Yes,FW1128,1228
No,FW1129,1229
Yes,FW1130,1230
Yes,FW1131,1231
Yes,FW1132,1232
Yes,FW1133,1233
Yes,FW1134,1234
No,FW1135,1235
No,FW1136,1236
Yes,FW1137,1237
No,FW1138,1238
Yes,FW1139,1239
No,FW1140,1240
No,FW1141,1241
Yes,FW1142,1242
No,FW1143,1243
Yes,FW1144,1244
Yes,FW1145,1245
Yes,FW1146,1246
No,FW1147,1247
Yes,FW1148,1248
No,FW1149,1249
Yes,FW1150,1250
Yes,FW1151,1251
No,FW1152,1252
No,FW1153,1253
Yes,FW1154,1254
No,FW1155,1255
No,FW1156,1256
Yes,FW1157,1257
No,FW1158,1258
No,FW1159,1259
No,FW1160,1260
No,FW1161,1261
Yes,FW1162,1262
No,FW1163,1263
No,FW1164,1264
Yes,FW1165,1265
No,FW1166,1266
Yes,FW1167,1267
Yes,FW1168,1268
Yes,FW1169,1269
Yes,FW1170,1270
Yes,FW1171,1271
Yes,FW1172,1272
No,FW1173,1273
No,FW1174,1274
No,FW1175,1275
Yes,FW1176,1276
Yes,FW1177,1277
No,FW1178,1278
No,FW1179,1279
No,FW1180,1280
Yes,FW1181,1281
No,FW1182,1282
No,FW1183,1283
Yes,FW1184,1284
No,FW1185,1285
No,FW1186,1286
Yes,FW1187,1287
No,FW1188,1288
No,FW1189,1289
No,FW1190,1290
Yes,FW1191,1291
No,FW1192,1292
No,FW1193,1293
Yes,FW1194,1294
Yes,FW1195,1295
Yes,FW1196,1296
Yes,FW1197,1297
Yes,FW1198,1298
No,FW1199,1299
No,FW1200,1300
Yes,FW1201,1301
Yes,FW1202,1302
No,FW1203,1303
No,FW1204,1304
No,FW1205,1305
Yes,FW1206,1306
No,FW1207,1307
Yes,FW1208,1308
No,FW1209,1309
No,FW1210,1310
No,FW1211,1311
Yes,FW1212,1312
No,FW1213,1313
Yes,FW1214,1314
No,FW1215,1315
Yes,FW1216,1316
No,FW1217,1317
No,FW1218,1318
No,FW1219,1319
No,FW1220,1320
Yes,FW1221,1321
No,FW1222,1322
No,FW1223,1323
No,FW1224,1324
Yes,FW1225,1325
Yes,FW1226,1326
No,FW1227,1327
No,FW1228,1328
No,FW1229,1329
No,FW1230,1330
Yes,FW1231,1331
Yes,FW1232,1332
No,FW1233,1333
Yes,FW1234,1334
No,FW1235,1335
Yes,FW1236,1336
No,FW1237,1337
No,FW1238,1338
No,FW1239,1339
Yes,FW1240,1340
Yes,FW1241,1341
No,FW1242,1342
No,FW1243,1343
Yes,FW1244,1344
No,FW1245,1345
No,FW1246,1346
Yes,FW1247,1347
No,FW1248,1348
Yes,FW1249,1349
No,FW1250,1350
No,FW1251,1351
Yes,FW1252,1352
Yes,FW1253,1353
No,FW1254,1354
No,FW1255,1355
No,FW1256,1356
Yes,FW1257,1357
No,FW1258,1358
Yes,FW1259,1359
No,FW1260,1360
Yes,FW1261,1361
No,FW1262,1362
Yes,FW1263,1363
Yes,FW1264,1364
Yes,FW1265,1365
Yes,FW1266,1366
Yes,FW1267,1367
No,FW1268,1368
Yes,FW1269,1369
No,FW1270,1370
Yes,FW1271,1371
Yes,FW1272,1372
No,FW1273,1373
No,FW1274,1374
No,FW1275,1375
Yes,FW1276,1376
No,FW1277,1377
No,FW1278,1378
No,FW1279,1379
No,FW1280,1380
Yes,FW1281,1381
No,FW1282,1382
No,FW1283,1383
Yes,FW1284,1384
No,FW1285,1385
No,FW1286,1386
Yes,FW1287,1387
No,FW1288,1388
Yes,FW1289,1389
Yes,FW1290,1390
Yes,FW1291,1391
No,FW1292,1392
Yes,FW1293,1393
No,FW1294,1394
Yes,FW1295,1395
Yes,FW1296,1396
Yes,FW1297,1397
Yes,FW1298,1398
No,FW1299,1399
Yes,FW1300,1400
No,FW1301,1401
No,FW1302,1402
Yes,FW1303,1403
No,FW1304,1404
No,FW1305,1405
No,FW1306,1406
No,FW1307,1407
Yes,FW1308,1408
No,FW1309,1409
No,FW1310,1410
No,FW1311,1411
No,FW1312,1412
Yes,FW1313,1413
No,FW1314,1414
Yes,FW1315,1415
No,FW1316,1416
Yes,FW1317,1417
No,FW1318,1418
Yes,FW1319,1419
Yes,FW1320,1420
Yes,FW1321,1421
Yes,FW1322,1422
No,FW1323,1423
No,FW1324,1424
No,FW1325,1425
No,FW1326,1426
Yes,FW1327,1427
No,FW1328,1428
No,FW1329,1429
Yes,FW1330,1430
No,FW1331,1431
No,FW1332,1432
No,FW1333,1433
No,FW1334,1434
No,FW1335,1435
Yes,FW1336,1436
No,FW1337,1437
Yes,FW1338,1438
No,FW1339,1439
No,FW1340,1440
No,FW1341,1441
No,FW1342,1442
No,FW1343,1443
No,FW1344,1444
Yes,FW1345,1445
No,FW1346,1446
No,FW1347,1447
Yes,FW1348,1448
Yes,FW1349,1449
Yes,FW1350,1450
No,FW1351,1451
Yes,FW1352,1452
Yes,FW1353,1453
Yes,FW1354,1454
Yes,FW1355,1455
No,FW1356,1456
Yes,FW1357,1457
No,FW1358,1458
Yes,FW1359,1459
Yes,FW1360,1460
Yes,FW1361,1461
Yes,FW1362,1462
No,FW1363,1463
No,FW1364,1464
No,FW1365,1465
Yes,FW1366,1466
Yes,FW1367,1467
Yes,FW1368,1468
No,FW1369,1469
No,FW1370,1470
Yes,FW1371,1471
No,FW1372,1472
No,FW1373,1473
Yes,FW1374,1474
Yes,FW1375,1475
Yes,FW1376,1476
Yes,FW1377,1477
Yes,FW1378,1478
No,FW1379,1479
Yes,FW1380,1480
No,FW1381,1481
Yes,FW1382,1482
No,FW1383,1483
No,FW1384,1484
Yes,FW1385,1485
No,FW1386,1486
No,FW1387,1487
No,FW1388,1488
Yes,FW1389,1489
No,FW1390,1490
Yes,FW1391,1491
Yes,FW1392,1492
Yes,FW1393,1493
No,FW1394,1494
No,FW1395,1495
No,FW1396,1496
No,FW1397,1497
Yes,FW1398,1498
No,FW1399,1499
Yes,FW1400,1500
Yes,FW1401,1501
Yes,FW1402,1502
No,FW1403,1503
No,FW1404,1504
Yes,FW1405,1505
Yes,FW1406,1506
No,FW1407,1507
No,FW1408,1508
No,FW1409,1509
No,FW1410,1510
Yes,FW1411,1511
Yes,FW1412,1512
Yes,FW1413,1513
Yes,FW1414,1514
No,FW1415,1515
No,FW1416,1516
No,FW1417,1517
No,FW1418,1518
Yes,FW1419,1519
Yes,FW1420,1520
No,FW1421,1521
Yes,FW1422,1522
Yes,FW1423,1523
Yes,FW1424,1524
Yes,FW1425,1525
Yes,FW1426,1526
No,FW1427,1527
Yes,FW1428,1528
Yes,FW1429,1529
Yes,FW1430,1530
Yes,FW1431,1531
No,FW1432,1532
Yes,FW1433,1533
No,FW1434,1534
No,FW1435,1535
Yes,FW1436,1536
Yes,FW1437,1537
No,FW1438,1538
Yes,FW1439,1539
No,FW1440,1540
Yes,FW1441,1541
Yes,FW1442,1542
Yes,FW1443,1543
